date,store_id,product_id,category,price,cost,discounted_price,ml_price,units_sold,static_revenue,ml_revenue,ml_pred_demand,residual
2023-08-08,S003,P0013,0,75.56,56.1,71.782,94.45,123,8829.186,11617.35,122.805275,-0.3417816162109375
2023-08-08,S004,P0006,1,36.38,18.58,36.38,45.48,33,1200.5400000000002,1500.84,33.481052,-0.7812843322753906
2023-08-08,S004,P0007,4,78.82,48.05,74.879,98.52,241,18045.839,23743.32,239.61487,2.0843353271484375
2023-08-08,S004,P0008,4,55.8,44.04,55.8,69.75,100,5580.0,6975.0,100.00261,0.0101165771484375
2023-08-08,S004,P0013,0,54.2,37.94,54.2,67.75,59,3197.8,3997.25,58.950245,0.12963104248046875
2023-08-08,S004,P0010,0,79.68,43.15,75.696,99.6,90,6812.639999999999,8964.0,90.02664,0.6771316528320312
2023-08-08,S004,P0011,3,60.76,40.84,57.722,75.95,51,2943.822,3873.4500000000003,50.49598,0.63507080078125
2023-08-08,S004,P0012,0,39.72,28.84,33.762,49.65,153,5165.586,7596.45,153.8953,-0.7806243896484375
2023-08-08,S004,P0009,1,94.45,61.1,80.2825,118.06,28,2247.91,3305.6800000000003,28.647114,-0.6229743957519531
2023-08-08,S004,P0005,0,62.97,38.61,56.673,78.71,103,5837.319,8107.129999999999,103.242256,-0.1396484375
2023-08-08,S003,P0019,3,17.99,9.53,16.191,22.49,66,1068.606,1484.34,66.34046,-0.4011077880859375
2023-08-08,S005,P0020,3,81.88,49.26,81.88,102.35,413,33816.439999999995,42270.549999999996,417.68353,-4.924072265625
2023-08-08,S004,P0002,4,37.09,27.72,33.381,46.36,204,6809.724,9457.44,203.84424,0.136566162109375
2023-08-08,S004,P0001,0,99.82,68.7,89.838,124.78,33,2964.654,4117.74,32.886845,0.4650421142578125
2023-08-08,S003,P0020,4,70.06,55.33,66.557,87.58,54,3594.078,4729.32,54.004894,0.8437881469726562
2023-08-08,S003,P0018,4,14.28,8.53,14.28,17.85,21,299.88,374.85,21.150854,-0.5327777862548828
2023-08-08,S003,P0017,2,55.0,38.67,55.0,68.75,211,11605.0,14506.25,211.17935,-0.0220947265625
2023-08-08,S003,P0016,3,92.15,66.9,78.3275,115.19,116,9085.99,13362.039999999999,116.45754,-0.11865234375
2023-08-08,S003,P0015,3,48.94,30.65,46.493,61.18,163,7578.359,9972.34,162.72626,0.6725616455078125
2023-08-08,S003,P0014,3,55.75,34.18,55.75,69.69,137,7637.75,9547.529999999999,136.65785,1.481719970703125
2023-08-08,S004,P0014,1,28.1,18.95,26.695,35.12,168,4484.76,5900.16,167.63803,-0.3191375732421875
2023-08-08,S004,P0004,1,75.47,41.15,64.1495,94.34,72,4618.764,6792.4800000000005,71.480965,-0.2099456787109375
