date,store_id,product_id,category,region,inventory_level,units_sold,units_ordered,demand_forecast,price,discount,weather_condition,holiday,competitor_pricing,seasonality,customer_visits,cost_price,conversion_rate_%
2022-01-01,S001,P0001,Groceries,North,231,127,55,135.47,33.5,1,Rainy,0,29.69,Autumn,160,23.45,79.375
2022-01-01,S001,P0002,Toys,South,204,150,66,144.04,63.01,1,Sunny,0,66.16,Autumn,232,44.107,64.65517241
2022-01-01,S001,P0003,Toys,West,102,65,51,74.02,27.99,1,Sunny,1,31.32,Summer,150,19.593,43.33333333
2022-01-01,S001,P0004,Toys,North,469,61,164,62.18,32.72,1,Cloudy,1,34.74,Autumn,154,22.904,39.61038961
2022-01-01,S001,P0005,Electronics,East,166,14,135,9.26,73.64,0,Sunny,0,68.95,Summer,95,51.548,14.73684211
2022-01-01,S001,P0006,Groceries,South,138,128,102,139.82,76.83,1,Sunny,1,79.35,Winter,173,53.781,73.98843931
2022-01-01,S001,P0007,Furniture,East,359,97,167,108.92,34.16,1,Rainy,1,36.55,Winter,171,23.912,56.7251462
2022-01-01,S001,P0008,Clothing,North,380,312,54,329.73,97.99,1,Cloudy,0,100.09,Spring,357,68.593,87.39495798
2022-01-01,S001,P0009,Electronics,West,183,175,135,174.15,20.74,1,Cloudy,0,17.66,Autumn,259,14.518,67.56756757
2022-01-01,S001,P0010,Toys,South,108,28,196,24.47,59.99,0,Rainy,1,61.21,Winter,105,41.993,26.66666667
2022-01-01,S001,P0011,Furniture,South,258,150,153,152.74,58.53,1,Sunny,1,61.42,Spring,177,40.971,84.74576271
2022-01-01,S001,P0012,Clothing,West,66,24,70,26.75,58.25,1,Snowy,0,62.21,Spring,68,40.775,35.29411765
2022-01-01,S001,P0013,Toys,South,96,42,85,41.46,43.6,0,Cloudy,0,46.31,Spring,126,30.52,33.33333333
2022-01-01,S001,P0014,Clothing,West,193,12,187,6.8,78.11,0,Sunny,0,80.06,Spring,62,54.677,19.35483871
2022-01-01,S001,P0015,Clothing,North,379,369,154,363.46,92.99,1,Snowy,0,95.8,Winter,438,65.093,84.24657534
2022-01-01,S001,P0016,Electronics,North,363,255,69,255.74,21.9,1,Cloudy,1,20.27,Autumn,305,15.33,83.60655738
2022-01-01,S001,P0017,Toys,West,318,246,177,255.37,21.07,1,Sunny,0,16.49,Winter,321,14.749,76.63551402
2022-01-01,S001,P0018,Clothing,South,241,151,47,147.27,19.57,1,Cloudy,0,23.13,Autumn,237,13.699,63.71308017
2022-01-01,S001,P0019,Clothing,East,352,257,186,267.38,73.28,1,Cloudy,0,77.26,Winter,345,51.296,74.49275362
2022-01-01,S001,P0020,Toys,East,274,99,166,115.23,30.24,1,Cloudy,0,27.1,Spring,170,21.168,58.23529412
2022-01-01,S002,P0001,Groceries,South,343,104,144,112.55,32.8,1,Sunny,1,30.78,Spring,171,22.96,60.81871345
2022-01-01,S002,P0002,Clothing,West,373,141,151,135.62,46.16,1,Rainy,1,45.21,Winter,229,32.312,61.5720524
2022-01-01,S002,P0003,Furniture,East,445,182,119,176.31,20.46,1,Snowy,1,22.0,Spring,214,14.322,85.04672897
2022-01-01,S002,P0004,Toys,West,191,63,115,54.57,26.19,0,Cloudy,0,28.06,Autumn,98,18.333,64.28571429
2022-01-01,S002,P0005,Toys,West,281,156,25,150.9,83.29,1,Rainy,0,80.64,Autumn,185,58.303,84.32432432
2022-01-01,S002,P0006,Furniture,North,492,250,168,242.57,85.59,1,Cloudy,0,86.82,Winter,287,59.913,87.10801394
2022-01-01,S002,P0007,Groceries,West,460,393,70,401.48,91.13,1,Sunny,0,93.33,Summer,484,63.791,81.19834711
2022-01-01,S002,P0008,Electronics,West,304,29,99,35.54,66.96,1,Snowy,0,65.36,Summer,86,46.872,33.72093023
2022-01-01,S002,P0009,Clothing,South,113,9,84,14.78,81.29,1,Rainy,1,82.06,Winter,50,56.903,18.0
2022-01-01,S002,P0010,Electronics,North,157,126,181,132.75,60.84,0,Snowy,1,65.22,Winter,218,42.588,57.79816514
2022-01-01,S002,P0011,Groceries,West,67,13,33,7.44,34.62,0,Snowy,1,33.98,Autumn,65,24.234,20.0
2022-01-01,S002,P0012,Groceries,East,281,25,136,37.27,19.56,1,Rainy,1,19.01,Winter,64,13.692,39.0625
2022-01-01,S002,P0013,Clothing,East,389,283,177,299.7,57.78,1,Cloudy,0,58.5,Spring,326,40.446,86.80981595
2022-01-01,S002,P0014,Electronics,East,465,359,77,370.36,91.28,1,Cloudy,0,90.85,Summer,410,63.896,87.56097561
2022-01-01,S002,P0015,Toys,South,197,129,94,148.55,59.9,1,Sunny,1,55.23,Winter,177,41.93,72.88135593
2022-01-01,S002,P0016,Toys,South,242,63,85,58.07,45.65,1,Rainy,1,42.17,Spring,160,31.955,39.375
2022-01-01,S002,P0017,Groceries,West,398,373,92,390.89,11.71,1,Cloudy,1,10.0,Winter,438,8.197,85.15981735
2022-01-01,S002,P0018,Groceries,North,234,160,140,177.41,58.84,1,Cloudy,0,54.39,Summer,194,41.188,82.4742268
2022-01-01,S002,P0019,Toys,East,67,15,186,34.38,84.99,1,Sunny,1,81.02,Winter,37,59.493,40.54054054
