date,store_id,product_id,category,price,cost_price,discounted_price,ml_price,units_sold,static_revenue,ml_revenue,ml_pred_demand,residual
2023-08-08,S004,P0006,1,36.38,25.466,36.38,45.48,33,1200.5400000000002,1500.84,32.212173,1.0397796630859375
2023-08-08,S004,P0014,1,28.1,19.67,0.0,35.12,168,0.0,5900.16,167.81288,0.4159088134765625
2023-08-08,S004,P0013,0,54.2,37.94,54.2,67.75,59,3197.8,3997.25,59.180164,-0.12847900390625
2023-08-08,S004,P0012,0,39.72,27.804,0.0,49.65,153,0.0,7596.45,152.13692,0.322418212890625
2023-08-08,S004,P0011,3,60.76,42.532,0.0,75.95,51,0.0,3873.4500000000003,50.50144,0.6158409118652344
2023-08-08,S004,P0010,0,79.68,55.776,0.0,99.6,90,0.0,8964.0,89.57321,0.9622268676757812
2023-08-08,S004,P0009,1,94.45,66.115,0.0,118.06,28,0.0,3305.6800000000003,28.193775,-1.005788803100586
2023-08-08,S004,P0008,4,55.8,39.06,55.8,69.75,100,5580.0,6975.0,99.84449,-0.02039337158203125
2023-08-08,S004,P0007,4,78.82,55.174,0.0,98.52,241,0.0,23743.32,239.88162,0.773681640625
2023-08-08,S004,P0005,0,62.97,44.079,0.0,78.71,103,0.0,8107.129999999999,103.168594,0.24493408203125
2023-08-08,S003,P0013,0,75.56,52.892,0.0,94.45,123,0.0,11617.35,123.05953,0.25666046142578125
2023-08-08,S004,P0003,0,17.2,12.04,0.0,21.5,100,0.0,2150.0,100.59965,-0.1446075439453125
2023-08-08,S004,P0002,4,37.09,25.963,0.0,46.36,204,0.0,9457.44,203.28479,0.37109375
2023-08-08,S004,P0001,0,99.82,69.874,0.0,124.78,33,0.0,4117.74,32.589687,0.040828704833984375
2023-08-08,S003,P0020,4,70.06,49.042,0.0,87.58,54,0.0,4729.32,53.69548,0.4273185729980469
2023-08-08,S003,P0019,3,17.99,12.593,0.0,22.49,66,0.0,1484.34,66.5071,-0.247314453125
2023-08-08,S003,P0018,4,14.28,9.996,14.28,17.85,21,299.88,374.85,21.481857,-0.9263648986816406
2023-08-08,S003,P0017,2,55.0,38.5,55.0,68.75,211,11605.0,14506.25,210.51881,0.3267669677734375
2023-08-08,S003,P0016,3,92.15,64.505,0.0,115.19,116,0.0,13362.039999999999,115.815,-0.2267913818359375
2023-08-08,S003,P0015,3,48.94,34.258,0.0,61.18,163,0.0,9972.34,163.3897,-1.41943359375
2023-08-08,S003,P0014,3,55.75,39.025,55.75,69.69,137,7637.75,9547.529999999999,136.6402,0.9532318115234375
2023-08-08,S004,P0004,1,75.47,52.829,0.0,94.34,72,0.0,6792.4800000000005,72.38664,-0.1912078857421875
2023-08-08,S004,P0016,3,80.92,56.644,80.92,101.15,80,6473.6,8092.0,80.135704,0.1278076171875
2023-08-08,S005,P0020,3,81.88,57.316,81.88,102.35,413,33816.439999999995,42270.549999999996,414.91125,-3.05914306640625
2023-08-08,S004,P0018,4,46.32,32.424,46.32,57.9,148,6855.36,8569.199999999999,147.50922,0.680511474609375
2023-08-08,S003,P0012,1,34.46,24.122,0.0,43.08,198,0.0,8529.84,198.22919,0.011627197265625
2023-08-08,S005,P0019,4,47.6,33.32,0.0,59.5,121,0.0,7199.5,120.931755,-0.09465789794921875
2023-08-08,S005,P0018,0,92.15,64.505,0.0,115.19,209,0.0,24074.71,209.08739,-0.1328887939453125
