date,store_id,product_id,category,region,price,cost,static_price,dynamic_price,units_sold,static_revenue,dynamic_revenue,price_change_pct,inventory_pressure,demand_ratio,competitor_gap,seasonality,weather_condition,holiday/promotion,is_weekend
2022-01-01,S001,P0001,Groceries,North,33.5,20.15,0.0,34.84,127,0.0,4424.68,inf,0.5474137931034483,0.9306074595149118,3.809999999999999,Autumn,Rainy,0,1
2022-01-01,S001,P0002,Toys,South,63.01,38.28,0.0,68.68,150,0.0,10302.000000000002,inf,0.7317073170731707,1.0341974627688917,-3.1499999999999986,Autumn,Sunny,0,1
2022-01-01,S001,P0003,Toys,West,27.99,21.54,0.0,33.59,65,0.0,2183.3500000000004,inf,0.6310679611650486,0.8664356171687551,-3.330000000000002,Summer,Sunny,1,1
2022-01-01,S001,P0004,Toys,North,32.72,16.37,0.0,31.41,61,0.0,1916.01,inf,0.1297872340425531,0.9654954099398544,-2.020000000000003,Autumn,Cloudy,1,1
2022-01-01,S001,P0005,Electronics,East,73.64,39.08,73.64,86.9,14,1030.96,1216.6000000000001,18.00651819663227,0.0838323353293413,1.364522417153996,4.689999999999998,Summer,Sunny,0,1
2022-01-01,S001,P0006,Groceries,South,76.83,44.84,0.0,99.88,128,0.0,12784.64,inf,0.920863309352518,0.9089617951995456,-2.519999999999996,Winter,Sunny,1,1
2022-01-01,S001,P0007,Furniture,East,34.16,17.59,0.0,36.55,97,0.0,3545.35,inf,0.2694444444444444,0.8824599708879185,-2.390000000000001,Winter,Rainy,1,1
2022-01-01,S001,P0008,Clothing,North,97.99,66.56,0.0,113.67,312,0.0,35465.04,inf,0.8188976377952756,0.9433677017506727,-2.1000000000000085,Spring,Cloudy,0,1
2022-01-01,S001,P0009,Electronics,West,20.74,10.72,0.0,24.89,175,0.0,4355.75,inf,0.9510869565217392,0.9991435912075364,3.0799999999999983,Autumn,Cloudy,0,1
2022-01-01,S001,P0010,Toys,South,59.99,35.14,59.99,65.99,28,1679.72,1847.7199999999998,10.001666944490736,0.2568807339449541,1.099332548095799,-1.2199999999999989,Winter,Rainy,1,1
2022-01-01,S001,P0011,Furniture,South,58.53,40.97,0.0,65.55,150,0.0,9832.5,inf,0.5791505791505791,0.9756732145180174,-2.890000000000001,Spring,Sunny,1,1
2022-01-01,S001,P0012,Clothing,West,58.25,36.84,0.0,51.84,24,0.0,1244.16,inf,0.3582089552238806,0.8648648648648649,-3.960000000000001,Spring,Snowy,0,1
2022-01-01,S001,P0013,Toys,South,43.6,25.07,43.6,45.34,42,1831.2,1904.2800000000002,3.9908256880733988,0.4329896907216495,0.9891662741403674,-2.710000000000001,Spring,Cloudy,0,1
2022-01-01,S001,P0014,Clothing,West,78.11,58.23,78.11,82.8,12,937.3199999999999,993.5999999999999,6.00435283574446,0.0618556701030927,1.5384615384615383,-1.9500000000000028,Spring,Sunny,0,1
2022-01-01,S001,P0015,Clothing,North,92.99,54.14,0.0,111.59,369,0.0,41176.71,inf,0.9710526315789474,1.012456785381112,-2.8100000000000023,Winter,Snowy,0,1
2022-01-01,S001,P0016,Electronics,North,21.9,12.32,0.0,25.62,255,0.0,6533.1,inf,0.7005494505494505,0.993222715587754,1.629999999999999,Autumn,Cloudy,1,1
2022-01-01,S001,P0017,Toys,West,21.07,14.99,0.0,26.34,246,0.0,6479.64,inf,0.7711598746081505,0.959550649451964,4.580000000000002,Winter,Sunny,0,1
