date,store_id,product_id,category,region,inventory_level,units_sold,units_ordered,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,visitors,cost
2022-01-01,S001,P0005,Electronics,East,166,14,135,9.26,73.64,0,Sunny,0,68.95,Summer,170,39.08
2022-01-01,S001,P0010,Toys,South,108,28,196,24.47,59.99,0,Rainy,1,61.21,Winter,199,35.14
2022-01-01,S001,P0013,Toys,South,96,42,85,41.46,43.6,0,Cloudy,0,46.31,Spring,166,25.07
2022-01-01,S001,P0014,Clothing,West,193,12,187,6.8,78.11,0,Sunny,0,80.06,Spring,264,58.23
2022-01-01,S002,P0004,Toys,West,191,63,115,54.57,26.19,0,Cloudy,0,28.06,Autumn,200,15.39
2022-01-01,S002,P0010,Electronics,North,157,126,181,132.75,60.84,0,Snowy,1,65.22,Winter,363,45.02
2022-01-01,S002,P0011,Groceries,West,67,13,33,7.44,34.62,0,Snowy,1,33.98,Autumn,83,23.98
2022-01-01,S002,P0020,Toys,West,221,101,38,115.0,87.1,0,Rainy,1,91.56,Spring,209,62.8
2022-01-01,S003,P0011,Toys,East,292,232,155,242.02,56.19,0,Snowy,1,57.85,Winter,389,40.43
2022-01-01,S004,P0005,Groceries,North,397,200,172,196.57,81.72,0,Snowy,1,85.22,Spring,338,64.53
2022-01-01,S004,P0011,Electronics,West,205,46,27,46.65,54.84,0,Sunny,1,57.76,Spring,185,42.33
2022-01-01,S004,P0013,Furniture,East,191,56,65,54.47,61.81,0,Sunny,0,63.92,Autumn,235,46.22
2022-01-01,S004,P0017,Electronics,South,203,46,75,55.12,25.55,0,Rainy,0,28.07,Winter,283,13.15
2022-02-01,S001,P0006,Furniture,East,471,58,32,51.57,47.56,0,Snowy,1,46.82,Summer,155,24.3
2022-02-01,S001,P0011,Furniture,East,215,12,173,16.92,53.84,0,Cloudy,1,53.79,Spring,310,32.98
2022-02-01,S001,P0014,Electronics,West,84,25,20,23.36,31.41,0,Cloudy,1,28.6,Spring,287,22.42
2022-02-01,S001,P0020,Electronics,North,221,174,168,187.49,97.88,0,Snowy,0,99.5,Autumn,247,76.44
2022-02-01,S002,P0004,Groceries,South,131,88,109,100.61,68.71,0,Snowy,0,69.34,Spring,261,38.42
2022-02-01,S002,P0006,Groceries,East,344,273,154,273.1,79.38,0,Rainy,0,77.28,Autumn,363,52.19
2022-02-01,S002,P0009,Electronics,North,296,197,157,195.61,30.5,0,Sunny,0,28.86,Spring,291,20.56
2022-02-01,S002,P0011,Furniture,East,308,154,22,169.13,88.62,0,Cloudy,0,86.3,Winter,292,70.85
2022-02-01,S002,P0015,Toys,North,353,106,191,110.49,70.59,0,Cloudy,1,75.27,Winter,284,45.87
2022-02-01,S002,P0020,Clothing,South,222,78,42,76.55,64.99,0,Sunny,1,65.4,Summer,266,34.58
2022-02-01,S003,P0002,Groceries,East,175,2,140,-3.4,87.5,0,Rainy,0,91.2,Autumn,132,60.79
2022-02-01,S003,P0006,Groceries,East,302,93,33,106.58,97.74,0,Cloudy,0,97.69,Winter,175,56.36
2022-02-01,S003,P0009,Electronics,West,219,140,196,139.46,88.97,0,Snowy,1,91.53,Spring,423,58.19
2022-02-01,S003,P0014,Toys,North,420,368,71,384.47,66.51,0,Cloudy,0,70.84,Spring,552,39.23
2022-02-01,S004,P0002,Electronics,East,283,45,156,46.65,59.38,0,Sunny,1,62.4,Spring,245,43.77
2022-02-01,S004,P0003,Clothing,East,347,89,122,87.77,48.18,0,Sunny,1,49.64,Spring,200,25.25
2022-02-01,S004,P0014,Electronics,East,472,16,166,28.75,82.64,0,Cloudy,0,78.35,Autumn,166,54.15
2022-02-01,S004,P0016,Clothing,West,215,178,111,180.76,61.41,0,Sunny,0,61.32,Spring,433,45.04
2022-02-01,S004,P0018,Furniture,South,198,27,62,25.51,89.33,0,Sunny,0,89.63,Spring,77,55.38
2022-02-01,S005,P0015,Clothing,West,289,60,83,52.77,63.26,0,Rainy,1,61.02,Autumn,340,33.41
2022-03-01,S001,P0002,Clothing,East,282,199,70,193.26,54.02,0,Cloudy,0,52.91,Spring,399,30.78
2022-03-01,S001,P0004,Electronics,East,239,214,51,228.51,10.19,0,Cloudy,1,7.82,Winter,500,5.68
2022-03-01,S001,P0005,Groceries,West,368,165,56,170.76,95.54,0,Sunny,0,91.29,Spring,357,57.86
2022-03-01,S001,P0011,Groceries,East,252,3,98,5.18,60.52,0,Cloudy,0,62.72,Autumn,123,30.27
2022-03-01,S001,P0019,Furniture,South,240,193,171,203.45,56.91,0,Sunny,1,54.2,Spring,304,45.0
2022-03-01,S002,P0001,Toys,North,405,96,171,100.82,48.08,0,Rainy,1,49.4,Autumn,390,32.61
2022-03-01,S002,P0005,Groceries,West,327,313,194,326.56,29.74,0,Snowy,1,31.67,Winter,470,23.47
2022-03-01,S002,P0009,Groceries,South,288,191,29,207.27,58.59,0,Cloudy,0,60.98,Summer,430,41.91
2022-03-01,S002,P0010,Electronics,West,270,185,150,192.21,95.48,0,Rainy,1,91.76,Winter,309,64.27
2022-03-01,S002,P0014,Groceries,West,298,233,143,245.02,20.37,0,Rainy,1,23.3,Spring,374,12.41
2022-03-01,S002,P0015,Furniture,West,193,187,57,177.8,46.25,0,Snowy,0,49.2,Spring,453,31.38
2022-03-01,S003,P0002,Groceries,North,405,353,74,355.08,17.36,0,Cloudy,1,17.32,Spring,592,13.17
2022-03-01,S003,P0005,Clothing,East,311,147,29,154.97,65.77,0,Cloudy,1,61.06,Spring,401,33.94
2022-03-01,S003,P0007,Furniture,West,277,54,126,48.62,98.9,0,Cloudy,0,97.62,Summer,106,77.54
2022-03-01,S003,P0009,Toys,South,241,179,135,198.59,42.07,0,Snowy,1,37.66,Winter,426,31.84
2022-03-01,S003,P0010,Furniture,South,186,175,75,177.8,95.89,0,Rainy,1,96.19,Autumn,424,56.95
2022-03-01,S003,P0013,Groceries,South,268,43,78,49.77,49.23,0,Rainy,1,47.75,Spring,154,28.71
2022-03-01,S003,P0015,Electronics,South,495,399,86,390.1,60.83,0,Cloudy,1,60.34,Spring,673,46.18
2022-03-01,S004,P0002,Groceries,West,228,163,161,161.48,81.57,0,Cloudy,1,77.66,Winter,330,56.09
2022-03-01,S004,P0004,Groceries,East,211,150,20,167.75,60.11,0,Rainy,1,62.3,Summer,295,42.5
2022-03-01,S004,P0010,Electronics,West,467,143,183,139.44,23.73,0,Snowy,0,21.84,Winter,433,13.16
2022-03-01,S004,P0014,Groceries,East,301,165,34,160.46,60.58,0,Sunny,1,58.02,Winter,253,42.36
2022-03-01,S004,P0015,Groceries,South,423,85,73,95.5,73.48,0,Rainy,0,77.0,Spring,264,52.61
2022-03-01,S004,P0018,Electronics,South,467,270,108,270.37,46.93,0,Snowy,0,46.83,Winter,420,27.11
2022-03-01,S004,P0019,Toys,North,140,1,47,-3.91,80.41,0,Snowy,0,76.9,Winter,163,44.45
2022-03-01,S005,P0001,Groceries,North,159,3,145,18.12,36.3,0,Snowy,0,34.96,Winter,133,22.06
2022-03-01,S005,P0011,Groceries,North,119,40,151,43.92,74.14,0,Cloudy,1,69.67,Winter,314,57.07
2022-03-01,S005,P0018,Toys,North,376,36,53,43.47,38.42,0,Snowy,1,35.98,Winter,303,30.32
2022-04-01,S001,P0011,Toys,South,421,30,33,49.2,24.21,0,Sunny,0,25.48,Spring,148,16.79
2022-04-01,S001,P0017,Toys,West,353,348,36,349.59,53.02,0,Cloudy,1,57.08,Autumn,637,41.63
2022-04-01,S001,P0020,Electronics,North,153,49,139,44.55,10.93,0,Snowy,1,10.76,Winter,299,8.24
2022-04-01,S002,P0004,Toys,East,289,11,21,26.96,58.13,0,Sunny,1,61.63,Summer,268,34.57
2022-04-01,S002,P0006,Clothing,West,118,81,139,88.67,33.96,0,Sunny,0,29.22,Summer,133,20.15
2022-04-01,S002,P0012,Electronics,North,74,61,87,67.72,94.85,0,Cloudy,0,93.92,Winter,305,59.3
2022-04-01,S002,P0020,Furniture,East,403,349,42,340.49,21.47,0,Rainy,0,17.22,Winter,566,12.89
2022-04-01,S003,P0006,Electronics,East,328,308,113,323.67,18.48,0,Rainy,1,17.76,Autumn,368,9.76
2022-04-01,S003,P0014,Clothing,East,228,79,158,75.88,85.33,0,Sunny,1,82.64,Spring,170,49.58
2022-04-01,S003,P0017,Toys,West,355,236,26,248.1,53.81,0,Rainy,0,49.72,Winter,429,28.13
2022-04-01,S003,P0019,Groceries,North,172,32,160,26.96,38.2,0,Rainy,0,38.42,Summer,193,23.87
2022-04-01,S004,P0006,Groceries,South,499,138,175,128.04,50.26,0,Cloudy,1,47.5,Autumn,235,25.63
2022-04-01,S004,P0016,Groceries,West,129,92,73,89.92,25.69,0,Sunny,0,27.17,Autumn,189,14.01
2022-04-01,S005,P0011,Toys,West,237,78,192,77.14,39.15,0,Snowy,1,35.15,Autumn,231,25.85
2022-05-01,S001,P0005,Furniture,West,405,192,76,193.38,46.13,0,Cloudy,0,42.56,Spring,404,33.19
2022-05-01,S001,P0006,Toys,North,338,158,139,168.84,60.2,0,Rainy,1,57.13,Winter,415,43.63
2022-05-01,S001,P0013,Toys,East,370,57,24,55.73,83.3,0,Snowy,0,82.46,Summer,248,49.49
2022-05-01,S002,P0005,Clothing,West,241,209,36,212.58,87.11,0,Cloudy,1,83.23,Spring,434,66.52
2022-05-01,S002,P0008,Clothing,East,483,148,111,145.1,41.24,0,Cloudy,1,44.9,Autumn,312,31.4
2022-05-01,S003,P0001,Electronics,West,388,53,55,47.35,93.06,0,Snowy,1,88.15,Summer,129,67.85
2022-05-01,S003,P0003,Furniture,East,370,146,68,155.15,25.75,0,Rainy,1,30.21,Summer,216,19.97
2022-05-01,S003,P0006,Furniture,East,314,225,135,220.06,93.81,0,Snowy,0,89.3,Autumn,302,64.54
2022-05-01,S003,P0015,Furniture,South,278,25,81,28.28,86.8,0,Snowy,0,90.41,Autumn,109,51.1
2022-05-01,S003,P0017,Toys,East,192,28,175,18.54,29.03,0,Snowy,0,25.22,Summer,126,16.57
2022-05-01,S003,P0019,Toys,West,308,149,35,167.46,31.18,0,Sunny,1,34.2,Winter,370,24.94
2022-05-01,S004,P0009,Toys,North,348,325,97,321.15,89.52,0,Rainy,0,87.3,Summer,411,65.69
2022-05-01,S004,P0010,Groceries,East,412,53,75,72.67,12.89,0,Snowy,1,13.92,Autumn,126,7.16
2022-05-01,S004,P0013,Electronics,West,400,95,86,113.09,89.52,0,Cloudy,0,91.76,Autumn,190,48.48
2022-05-01,S004,P0016,Electronics,North,421,324,27,318.43,60.8,0,Rainy,1,58.01,Spring,472,46.74
2022-05-01,S005,P0006,Groceries,South,392,62,125,68.41,12.38,0,Rainy,1,16.24,Summer,239,8.1
2022-06-01,S001,P0002,Furniture,East,262,230,114,228.65,47.32,0,Rainy,0,45.33,Winter,473,28.01
2022-06-01,S001,P0005,Groceries,East,129,120,195,115.29,37.57,0,Snowy,1,33.29,Autumn,403,23.23
2022-06-01,S001,P0006,Toys,West,57,2,110,1.05,83.4,0,Rainy,1,86.18,Autumn,181,45.42
2022-06-01,S001,P0012,Groceries,North,59,1,88,-8.37,63.21,0,Rainy,0,60.48,Spring,93,36.94
2022-06-01,S001,P0015,Furniture,South,388,1,37,12.68,92.22,0,Cloudy,0,92.67,Spring,89,72.15
2022-06-01,S001,P0020,Clothing,North,98,2,60,2.68,79.76,0,Rainy,0,78.21,Winter,150,49.49
2022-06-01,S002,P0003,Clothing,East,71,65,197,71.43,60.75,0,Rainy,0,62.18,Autumn,266,44.26
2022-06-01,S002,P0017,Groceries,South,207,57,43,53.64,26.93,0,Rainy,1,31.05,Winter,310,16.26
2022-06-01,S003,P0005,Toys,East,457,243,182,250.44,83.39,0,Sunny,1,79.82,Spring,507,42.13
