date,store_id,product_id,category,region,inventory_level,units_sold,units_ordered,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,visitors,cost,discounted_price,profit_margin,margin_percent,revenue,demand_ratio,inventory_pressure,stock_remaining,competitor_gap,conversion_rate,price_demand_ratio,traffic_intensity,day_of_week,month,is_weekend
2022-01-01,S001,P0005,Electronics,East,166,14,135,9.26,73.64,0,Sunny,0,68.95,Summer,170,39.08,73.64,34.56,0.4693101575230853,1030.96,1.511879049676026,11.066666666666666,152,4.689999999999998,0.08187134502923976,7.17738791423002,0.5550014920362145,5.0,1.0,1
2022-01-01,S001,P0010,Toys,South,108,28,196,24.47,59.99,0,Rainy,1,61.21,Winter,199,35.14,59.99,24.85,0.41423570595099185,1679.72,1.1442582754393136,3.7241379310344827,80,-1.2199999999999989,0.14,2.3553199842952495,0.6496782171482747,5.0,1.0,1
2022-01-01,S001,P0013,Toys,South,96,42,85,41.46,43.6,0,Cloudy,0,46.31,Spring,166,25.07,43.6,18.53,0.425,1831.2,1.0130246020260492,2.2325581395348837,54,-2.710000000000001,0.25149700598802394,1.0268487988695243,0.5419426334000683,5.0,1.0,1
2022-01-01,S001,P0014,Clothing,West,193,12,187,6.8,78.11,0,Sunny,0,80.06,Spring,264,58.23,78.11,19.880000000000003,0.25451286647036236,937.3199999999999,1.7647058823529411,14.846153846153847,181,-1.9500000000000028,0.045283018867924525,10.014102564102565,0.8618846699856508,5.0,1.0,1
2022-01-01,S002,P0004,Toys,West,191,63,115,54.57,26.19,0,Cloudy,0,28.06,Autumn,200,15.39,26.19,10.8,0.4123711340206186,1649.97,1.154480483782298,2.984375,128,-1.8699999999999974,0.31343283582089554,0.4712974626597085,0.6529429318073112,5.0,1.0,1
2022-01-01,S002,P0010,Electronics,North,157,126,181,132.75,60.84,0,Snowy,1,65.22,Winter,363,45.02,60.84,15.82,0.2600262984878369,7665.84,0.9491525423728814,1.236220472440945,31,-4.3799999999999955,0.34615384615384615,0.4548785046728972,1.18509142123027,5.0,1.0,1
2022-01-01,S002,P0011,Groceries,West,67,13,33,7.44,34.62,0,Snowy,1,33.98,Autumn,83,23.98,34.62,10.639999999999997,0.3073367995378393,450.05999999999995,1.7473118279569892,4.785714285714286,54,0.6400000000000006,0.15476190476190477,4.101895734597155,0.27097131670003416,5.0,1.0,1
2022-01-01,S002,P0020,Toys,West,221,101,38,115.0,87.1,0,Rainy,1,91.56,Spring,209,62.8,87.1,24.299999999999997,0.2789896670493685,8797.099999999999,0.8782608695652174,2.1666666666666665,120,-4.460000000000008,0.48095238095238096,0.7508620689655172,0.6823253637386402,5.0,1.0,1
2022-01-01,S003,P0011,Toys,East,292,232,155,242.02,56.19,0,Snowy,1,57.85,Winter,389,40.43,56.19,15.759999999999998,0.2804769531945186,13036.08,0.9585984629369473,1.2532188841201717,60,-1.6600000000000037,0.5948717948717949,0.2312155378158176,1.2699740023652204,5.0,1.0,1
2022-01-01,S004,P0005,Groceries,North,397,200,172,196.57,81.72,0,Snowy,1,85.22,Spring,338,64.53,81.72,17.189999999999998,0.21035242290748896,16344.0,1.0174492547184208,1.9751243781094527,197,-3.5,0.5899705014749262,0.4136255504378195,1.103473554754356,5.0,1.0,1
