date,store_id,product_id,category,region,inventory_level,units_sold,units_ordered,demand_forecast,price,discount,weather_condition,holiday/promotion,competitor_pricing,seasonality,visitors,cost,profit_margin,margin_percent,demand_ratio,inventory_pressure,competitor_gap,discounted_price,revenue,conversion_rate,price_demand_ratio,stock_remaining,traffic_intensity,day_of_week,month,is_weekend,rule_price,rule_revenue,baseline_revenue
2022-01-01,S001,P0001,Groceries,North,231,127,55,135.47,33.5,0.2,Rainy,0,29.69,Autumn,279,20.15,13.35,0.398507463,0.93060746,0.547413793,3.81,26.8,3403.6,0.453571429,0.26171875,104,1.202586207,5,1,1,36.230250000000005,4601.241750000001,4254.5
2022-01-01,S004,P0013,Furniture,East,191,56,65,54.47,61.81,0.0,Sunny,0,63.92,Autumn,235,46.22,15.59,0.252224559,1.009554714,0.291666667,-2.11,61.81,3461.36,0.237288136,1.084385965,135,1.223958333,5,1,1,52.84755,2959.4628,3461.36
2022-01-01,S004,P0012,Electronics,North,349,9,165,0.95,14.25,0.05,Rainy,1,18.56,Spring,111,10.92,3.33,0.233684211,4.615384615,0.025714286,-4.31,13.5375,121.8375,0.080357143,1.425,340,0.317142857,5,1,1,12.18375,109.65375,128.25
2022-01-01,S004,P0011,Electronics,West,205,46,27,46.65,54.84,0.0,Sunny,1,57.76,Spring,185,42.33,12.51,0.228118162,0.965372508,0.223300971,-2.92,54.84,2522.64,0.247311828,1.166808511,159,0.898058252,5,1,1,46.8882,2156.8572,2522.6400000000003
2022-01-01,S004,P0010,Groceries,East,447,104,96,115.03,33.48,0.15,Cloudy,0,37.15,Summer,162,21.64,11.84,0.353643967,0.896319917,0.232142857,-3.67,28.458,2959.632,0.63803681,0.318857143,343,0.361607143,5,1,1,32.271372,3356.222688,3481.9199999999996
2022-01-01,S004,P0009,Furniture,North,63,40,73,51.78,59.23,0.1,Rainy,1,61.1,Summer,339,38.55,20.68,0.349147392,0.757862827,0.625,-1.87,53.307,2132.28,0.117647059,1.444634146,23,5.296875,5,1,1,57.39387,2295.7548,2369.2
2022-01-01,S004,P0008,Furniture,South,250,51,137,54.98,85.88,0.2,Snowy,1,86.14,Winter,342,53.5,32.38,0.377037727,0.911039657,0.203187251,-0.26,68.704,3503.904,0.148688047,1.651538462,199,1.362549801,5,1,1,75.630222,3857.1413220000004,4379.88
2022-01-01,S004,P0007,Electronics,West,264,190,139,197.45,67.26,0.2,Cloudy,0,64.78,Summer,253,34.48,32.78,0.487362474,0.957420005,0.716981132,2.48,53.808,10223.52,0.748031496,0.352146597,74,0.954716981,5,1,1,72.03546,13686.7374,12779.400000000001
2022-01-01,S004,P0006,Electronics,East,470,382,195,396.4,41.35,0.1,Snowy,0,39.86,Summer,491,26.04,15.31,0.37025393,0.961248113,0.81104034,1.49,37.215,14216.13,0.776422764,0.107963446,88,1.042462845,5,1,1,44.28585,16917.1947,15795.7
2022-01-01,S004,P0005,Groceries,North,397,200,172,196.57,81.72,0.0,Snowy,1,85.22,Spring,338,64.53,17.19,0.210352423,1.012299438,0.502512563,-3.5,81.72,16344.0,0.589970501,0.406567164,197,0.849246231,5,1,1,85.806,17161.2,16344.0
2022-01-01,S004,P0004,Groceries,West,437,0,160,-2.4,87.23,0.1,Sunny,0,90.36,Spring,181,50.31,36.92,0.423248882,0.0,0.0,-3.13,78.507,0.0,0.0,87.23,437,0.413242009,5,1,1,74.58165,0.0,0.0
2022-01-01,S004,P0003,Clothing,West,446,344,27,352.93,89.32,0.2,Cloudy,0,93.0,Autumn,411,64.63,24.69,0.276421854,0.971943605,0.769574944,-3.68,71.456,24580.864,0.834951456,0.258898551,102,0.919463087,5,1,1,93.786,32262.384000000002,30726.079999999998
2022-01-01,S004,P0002,Clothing,North,462,180,183,176.06,41.13,0.05,Sunny,0,45.05,Autumn,396,21.98,19.15,0.465596888,1.016604541,0.388768898,-3.92,39.0735,7033.23,0.453400504,0.227237569,282,0.855291577,5,1,1,38.867850000000004,6996.213000000001,7403.400000000001
2022-01-01,S004,P0001,Toys,South,477,271,66,286.65,15.62,0.15,Sunny,0,16.09,Winter,393,9.72,5.9,0.377720871,0.942117156,0.566945607,-0.47,13.277,3598.067,0.687817259,0.057426471,206,0.822175732,5,1,1,16.89303,4578.01113,4233.0199999999995
2022-01-01,S003,P0020,Electronics,North,431,370,99,387.57,95.85,0.2,Cloudy,1,95.7,Spring,440,74.04,21.81,0.227543036,0.952209383,0.856481481,0.15,76.68,28371.6,0.839002268,0.258355795,61,1.018518519,5,1,1,100.6425,37237.725,35464.5
2022-01-01,S003,P0019,Clothing,East,330,249,37,268.25,26.71,0.15,Cloudy,1,24.81,Summer,433,13.42,13.29,0.497566455,0.924791086,0.752265861,1.9,22.7035,5653.1715,0.573732719,0.10684,81,1.3081571,5,1,1,28.60641,7122.99609,6650.79
2022-01-01,S003,P0018,Toys,West,204,70,170,83.01,97.08,0.15,Snowy,1,94.88,Winter,170,49.43,47.65,0.490832303,0.833234139,0.341463415,2.2,82.518,5776.26,0.409356725,1.367323944,134,0.829268293,5,1,1,85.493502,5984.54514,6795.599999999999
2022-01-01,S003,P0017,Clothing,East,429,150,168,157.82,27.1,0.05,Cloudy,1,27.4,Spring,428,19.2,7.9,0.291512915,0.944465433,0.348837209,-0.3,25.745,3861.75,0.34965035,0.179470199,279,0.995348837,5,1,1,25.6095,3841.425,4065.0
2022-01-01,S003,P0016,Groceries,South,487,347,93,349.36,98.18,0.15,Rainy,0,99.58,Winter,527,58.02,40.16,0.409044612,0.990409864,0.711065574,-1.4,83.453,28958.191,0.65719697,0.282126437,140,1.079918033,5,1,1,109.36712010000001,37950.3906747,34068.46
2022-01-01,S003,P0015,Clothing,West,445,260,24,266.36,27.72,0.05,Snowy,0,23.28,Autumn,558,21.81,5.91,0.213203463,0.972471574,0.582959641,4.44,26.334,6846.84,0.465116279,0.106206897,185,1.251121076,5,1,1,29.106,7567.56,7207.2
2022-01-01,S003,P0014,Electronics,South,398,369,26,387.88,79.03,0.05,Rainy,0,82.51,Spring,482,41.14,37.89,0.479438188,0.948878832,0.92481203,-3.48,75.0785,27703.9665,0.763975155,0.213594595,29,1.20802005,5,1,1,82.98150000000001,30620.173500000004,29162.07
2022-01-01,S003,P0013,Furniture,North,51,17,172,12.86,73.98,0.2,Cloudy,1,76.65,Summer,310,56.71,17.27,0.233441471,1.226551227,0.326923077,-2.67,59.184,1006.128,0.054662379,4.11,34,5.961538462,5,1,1,64.51795800000001,1096.805286,1257.66
