date,store_id,product_id,category,region,price,cost,static_price,dynamic_price,units_sold,static_revenue,dynamic_revenue,price_change_pct,inventory_pressure,demand_ratio,competitor_gap,seasonality,weather_condition,holiday/promotion,is_weekend
2022-01-01,S001,P0001,Groceries,North,33.5,20.15,26.8,34.84,127,3403.6,4424.68,30.00000000000001,0.547413793,0.93060746,3.81,Autumn,Rainy,0,1
2022-01-01,S001,P0002,Toys,South,63.01,38.28,50.408,68.68,150,7561.2,10302.000000000002,36.24821456911602,0.731707317,1.034197463,-3.15,Autumn,Sunny,0,1
2022-01-01,S001,P0003,Toys,West,27.99,21.54,25.191,33.59,65,1637.415,2183.3500000000004,33.341272676749654,0.631067961,0.866435617,-3.33,Summer,Sunny,1,1
2022-01-01,S001,P0004,Toys,North,32.72,16.37,29.448,31.41,61,1796.328,1916.01,6.662591687041564,0.129787234,0.96549541,-2.02,Autumn,Cloudy,1,1
2022-01-01,S001,P0005,Electronics,East,73.64,39.08,73.64,86.9,14,1030.96,1216.6000000000001,18.00651819663227,0.083832335,1.364522417,4.69,Summer,Sunny,0,1
2022-01-01,S001,P0006,Groceries,South,76.83,44.84,69.147,99.88,128,8850.816,12784.64,44.44589063878402,0.920863309,0.908961795,-2.52,Winter,Sunny,1,1
2022-01-01,S001,P0007,Furniture,East,34.16,17.59,30.744,36.55,97,2982.168,3545.35,18.88498568826437,0.269444444,0.882459971,-2.39,Winter,Rainy,1,1
2022-01-01,S001,P0008,Clothing,North,97.99,66.56,93.0905,113.67,312,29044.236,35465.04,22.106981915447864,0.818897638,0.943367702,-2.1,Spring,Cloudy,0,1
2022-01-01,S001,P0009,Electronics,West,20.74,10.72,18.666,24.89,175,3266.55,4355.75,33.34404800171435,0.951086957,0.999143591,3.08,Autumn,Cloudy,0,1
2022-01-01,S001,P0010,Toys,South,59.99,35.14,59.99,65.99,28,1679.72,1847.7199999999998,10.001666944490736,0.256880734,1.099332548,-1.22,Winter,Rainy,1,1
2022-01-01,S001,P0011,Furniture,South,58.53,40.97,52.677,65.55,150,7901.55,9832.5,24.437610342274613,0.579150579,0.975673215,-2.89,Spring,Sunny,1,1
2022-01-01,S001,P0012,Clothing,West,58.25,36.84,46.6,51.84,24,1118.4,1244.16,11.244635193133051,0.358208955,0.864864865,-3.96,Spring,Snowy,0,1
2022-01-01,S001,P0013,Toys,South,43.6,25.07,43.6,45.34,42,1831.2,1904.2800000000002,3.9908256880733988,0.432989691,0.989166274,-2.71,Spring,Cloudy,0,1
2022-01-01,S001,P0014,Clothing,West,78.11,58.23,78.11,82.8,12,937.3199999999999,993.5999999999999,6.00435283574446,0.06185567,1.538461538,-1.95,Spring,Sunny,0,1
2022-01-01,S001,P0015,Clothing,North,92.99,54.14,79.0415,111.59,369,29166.3135,41176.71,41.1790009045881,0.971052632,1.012456785,-2.81,Winter,Snowy,0,1
2022-01-01,S001,P0016,Electronics,North,21.9,12.32,20.805,25.62,255,5305.275,6533.1,23.1434751261716,0.700549451,0.993222716,1.63,Autumn,Cloudy,1,1
2022-01-01,S001,P0017,Toys,West,21.07,14.99,16.856,26.34,246,4146.576,6479.64,56.26483151400093,0.771159875,0.959550649,4.58,Winter,Sunny,0,1
2022-01-01,S001,P0018,Clothing,South,19.57,14.62,18.5915,20.94,151,2807.3165,3161.94,12.632116827582504,0.623966942,1.018412356,-3.56,Autumn,Cloudy,0,1
2022-01-01,S001,P0019,Clothing,East,73.28,42.03,65.952,84.27,257,16949.664,21657.39,27.77474526928675,0.728045326,0.957597436,-3.98,Winter,Cloudy,0,1
2022-01-01,S001,P0020,Toys,East,30.24,16.5,28.728,30.54,99,2844.072,3023.46,6.307435254803667,0.36,0.851759442,3.14,Spring,Cloudy,0,1
2022-01-01,S002,P0001,Groceries,South,32.8,21.74,26.24,35.42,104,2728.96,3683.6800000000003,34.98475609756099,0.302325581,0.915896081,2.02,Spring,Sunny,1,1
2022-01-01,S002,P0002,Clothing,West,46.16,28.79,41.544,48.93,141,5857.704,6899.13,17.778740612362803,0.377005348,1.032059728,0.95,Winter,Rainy,1,1
2022-01-01,S002,P0003,Furniture,East,20.46,15.7,16.368,20.87,182,2978.9759999999997,3798.34,27.504887585532767,0.408071749,1.026450849,-1.54,Spring,Snowy,1,1
2022-01-01,S002,P0004,Toys,West,26.19,15.39,26.19,27.5,63,1649.97,1732.5,5.001909125620461,0.328125,1.133705237,-1.87,Autumn,Cloudy,0,1
2022-01-01,S002,P0005,Toys,West,83.29,59.26,66.632,83.29,156,10394.592,12993.240000000002,25.0,0.553191489,1.026991442,2.65,Autumn,Rainy,0,1
2022-01-01,S002,P0006,Furniture,North,85.59,67.48,68.472,95.86,250,17118.0,23965.0,39.998831639210195,0.507099391,1.026398982,-1.23,Winter,Cloudy,0,1
2022-01-01,S002,P0007,Groceries,West,91.13,61.18,86.5735,114.82,393,34023.3855,45124.259999999995,32.62718961344984,0.852494577,0.976446035,-2.2,Summer,Sunny,0,1
2022-01-01,S002,P0008,Electronics,West,66.96,38.11,53.568,60.93,29,1553.472,1766.97,13.743279569892477,0.095081967,0.793650794,1.6,Summer,Snowy,0,1
2022-01-01,S002,P0009,Clothing,South,81.29,52.65,77.2255,78.04,9,695.0295,702.36,1.0547034334513983,0.078947368,0.570342205,-0.77,Winter,Rainy,1,1
2022-01-01,S002,P0010,Electronics,North,60.84,45.02,60.84,71.18,126,7665.84,8968.68,16.99539776462854,0.797468354,0.942056075,-4.38,Winter,Snowy,1,1
2022-01-01,S002,P0011,Groceries,West,34.62,23.98,34.62,36.7,13,450.05999999999995,477.1,6.00808781051417,0.191176471,1.54028436,0.64,Autumn,Snowy,1,1
2022-01-01,S002,P0012,Groceries,East,19.56,12.98,18.582,18.78,25,464.55,469.5,1.0655473038424301,0.088652482,0.653253201,0.55,Winter,Rainy,1,1
2022-01-01,S002,P0013,Clothing,East,57.78,29.13,46.224,64.14,283,13081.392,18151.62,38.75908618899274,0.725641026,0.941137346,-0.72,Spring,Cloudy,0,1
2022-01-01,S002,P0014,Electronics,East,91.28,65.14,73.024,108.62,359,26215.616,38994.58,48.74561787905346,0.770386266,0.966716932,0.43,Summer,Cloudy,0,1
2022-01-01,S002,P0015,Toys,South,59.9,44.73,50.915,76.67,129,6568.035,9890.43,50.58430717863106,0.651515152,0.862587763,4.67,Winter,Sunny,1,1
2022-01-01,S002,P0016,Toys,South,45.65,25.58,36.52,48.39,63,2300.76,3048.57,32.502738225629784,0.259259259,1.066531234,3.48,Spring,Rainy,1,1
2022-01-01,S002,P0017,Groceries,West,11.71,8.01,9.368,15.22,373,3494.264,5677.06,62.46797608881298,0.934837093,0.951797698,1.71,Winter,Cloudy,1,1
2022-01-01,S002,P0018,Groceries,North,58.84,34.06,55.898,70.61,160,8943.68,11297.6,26.319367419227873,0.680851064,0.896810717,4.45,Summer,Cloudy,0,1
2022-01-01,S002,P0019,Toys,East,84.99,43.51,80.7405,95.19,15,1211.1075,1427.85,17.896223085068833,0.220588235,0.423968344,3.97,Winter,Sunny,1,1
2022-01-01,S002,P0020,Toys,West,87.1,62.8,87.1,86.23,101,8797.099999999999,8709.23,-0.9988518943742715,0.454954955,0.870689655,-4.46,Spring,Rainy,1,1
2022-01-01,S003,P0001,Toys,South,67.21,46.22,63.8495,85.36,147,9385.8765,12547.92,33.68937893014041,0.607438017,0.906903572,-0.18,Summer,Sunny,1,1
2022-01-01,S003,P0002,Electronics,West,28.2,20.54,25.38,26.51,4,101.52,106.04,4.452324665090633,0.034482759,0.330305533,2.57,Spring,Sunny,1,1
2022-01-01,S003,P0003,Groceries,South,56.16,31.74,50.544,60.65,77,3891.888,4670.05,19.994460272238054,0.204787234,1.012624934,-1.0,Spring,Sunny,1,1
2022-01-01,S003,P0004,Toys,South,89.53,70.55,71.624,92.22,31,2220.344,2858.82,28.755724338210666,0.201298701,0.704705615,-4.07,Winter,Rainy,1,1
2022-01-01,S003,P0005,Clothing,West,97.95,72.36,78.36,122.44,325,25467.0,39793.0,56.25319040326697,0.740318907,0.979151603,4.41,Winter,Sunny,0,1
2022-01-01,S003,P0006,Groceries,North,76.37,46.89,72.5515,87.06,163,11825.8945,14190.78,19.997519003742166,0.356673961,1.017668727,4.99,Summer,Rainy,1,1
