date,store_id,product_id,category,region,inventory_level,units_sold,units_ordered,demand_forecast,price,discount,weather_condition,holiday/promotion,competitor_pricing,seasonality,visitors,cost
2022-01-01,S001,P0001,Groceries,North,231,127,55,135.47,33.5,1,Rainy,0,29.69,Autumn,279,20.15
2022-01-01,S001,P0002,Toys,South,204,150,66,144.04,63.01,1,Sunny,0,66.16,Autumn,379,38.28
2022-01-01,S001,P0003,Toys,West,102,65,51,74.02,27.99,1,Sunny,1,31.32,Summer,207,21.54
2022-01-01,S001,P0004,Toys,North,469,61,164,62.18,32.72,1,Cloudy,1,34.74,Autumn,125,16.37
2022-01-01,S001,P0005,Electronics,East,166,14,135,9.26,73.64,0,Sunny,0,68.95,Summer,170,39.08
2022-01-01,S001,P0006,Groceries,South,138,128,102,139.82,76.83,1,Sunny,1,79.35,Winter,249,44.84
2022-01-01,S001,P0007,Furniture,East,359,97,167,108.92,34.16,1,Rainy,1,36.55,Winter,335,17.59
2022-01-01,S001,P0008,Clothing,North,380,312,54,329.73,97.99,1,Cloudy,0,100.09,Spring,382,66.56
2022-01-01,S001,P0009,Electronics,West,183,175,135,174.15,20.74,1,Cloudy,0,17.66,Autumn,327,10.72
2022-01-01,S001,P0010,Toys,South,108,28,196,24.47,59.99,0,Rainy,1,61.21,Winter,199,35.14
2022-01-01,S001,P0011,Furniture,South,258,150,153,152.74,58.53,1,Sunny,1,61.42,Spring,410,40.97
2022-01-01,S001,P0012,Clothing,West,66,24,70,26.75,58.25,1,Snowy,0,62.21,Spring,288,36.84
2022-01-01,S001,P0013,Toys,South,96,42,85,41.46,43.6,0,Cloudy,0,46.31,Spring,166,25.07
2022-01-01,S001,P0014,Clothing,West,193,12,187,6.8,78.11,0,Sunny,0,80.06,Spring,264,58.23
2022-01-01,S001,P0015,Clothing,North,379,369,154,363.46,92.99,1,Snowy,0,95.8,Winter,506,54.14
2022-01-01,S001,P0016,Electronics,North,363,255,69,255.74,21.9,1,Cloudy,1,20.27,Autumn,421,12.32
2022-01-01,S001,P0017,Toys,West,318,246,177,255.37,21.07,1,Sunny,0,16.49,Winter,395,14.99
2022-01-01,S001,P0018,Clothing,South,241,151,47,147.27,19.57,1,Cloudy,0,23.13,Autumn,304,14.62
2022-01-01,S001,P0019,Clothing,East,352,257,186,267.38,73.28,1,Cloudy,0,77.26,Winter,458,42.03
2022-01-01,S001,P0020,Toys,East,274,99,166,115.23,30.24,1,Cloudy,0,27.1,Spring,279,16.5
2022-01-01,S002,P0001,Groceries,South,343,104,144,112.55,32.8,1,Sunny,1,30.78,Spring,303,21.74
2022-01-01,S002,P0002,Clothing,West,373,141,151,135.62,46.16,1,Rainy,1,45.21,Winter,243,28.79
2022-01-01,S002,P0003,Furniture,East,445,182,119,176.31,20.46,1,Snowy,1,22.0,Spring,233,15.7
