date,store_id,product_id,inventory_level,units_sold,units_ordered,demand_forecast,price,discount,holiday/promotion,competitor_pricing,visitors,cost,category_Electronics,category_Furniture,category_Groceries,category_Toys,region_North,region_South,region_West,weather_condition_Rainy,weather_condition_Snowy,weather_condition_Sunny,seasonality_Spring,seasonality_Summer,seasonality_Winter
2022-01-01,S001,P0001,231,127,55,135.47,33.5,20,0,29.69,279,20.15,0,0,1,0,1,0,0,1,0,0,0,0,0
2022-01-01,S001,P0002,204,150,66,144.04,63.01,20,0,66.16,379,38.28,0,0,0,1,0,1,0,0,0,1,0,0,0
2022-01-01,S001,P0003,102,65,51,74.02,27.99,10,1,31.32,207,21.54,0,0,0,1,0,0,1,0,0,1,0,1,0
2022-01-01,S001,P0004,469,61,164,62.18,32.72,10,1,34.74,125,16.37,0,0,0,1,1,0,0,0,0,0,0,0,0
2022-01-01,S001,P0005,166,14,135,9.26,73.64,0,0,68.95,170,39.08,1,0,0,0,0,0,0,0,0,1,0,1,0
2022-01-01,S001,P0006,138,128,102,139.82,76.83,10,1,79.35,249,44.84,0,0,1,0,0,1,0,0,0,1,0,0,1
2022-01-01,S001,P0007,359,97,167,108.92,34.16,10,1,36.55,335,17.59,0,1,0,0,0,0,0,1,0,0,0,0,1
2022-01-01,S001,P0008,380,312,54,329.73,97.99,5,0,100.09,382,66.56,0,0,0,0,1,0,0,0,0,0,1,0,0
2022-01-01,S001,P0009,183,175,135,174.15,20.74,10,0,17.66,327,10.72,1,0,0,0,0,0,1,0,0,0,0,0,0
2022-01-01,S001,P0010,108,28,196,24.47,59.99,0,1,61.21,199,35.14,0,0,0,1,0,1,0,1,0,0,0,0,1
2022-01-01,S001,P0011,258,150,153,152.74,58.53,10,1,61.42,410,40.97,0,1,0,0,0,1,0,0,0,1,1,0,0
2022-01-01,S001,P0012,66,24,70,26.75,58.25,20,0,62.21,288,36.84,0,0,0,0,0,0,1,0,1,0,1,0,0
2022-01-01,S001,P0013,96,42,85,41.46,43.6,0,0,46.31,166,25.07,0,0,0,1,0,1,0,0,0,0,1,0,0
2022-01-01,S001,P0014,193,12,187,6.8,78.11,0,0,80.06,264,58.23,0,0,0,0,0,0,1,0,0,1,1,0,0
2022-01-01,S001,P0015,379,369,154,363.46,92.99,15,0,95.8,506,54.14,0,0,0,0,1,0,0,0,1,0,0,0,1
2022-01-01,S001,P0016,363,255,69,255.74,21.9,5,1,20.27,421,12.32,1,0,0,0,1,0,0,0,0,0,0,0,0
2022-01-01,S001,P0017,318,246,177,255.37,21.07,20,0,16.49,395,14.99,0,0,0,1,0,0,1,0,0,1,0,0,1
2022-01-01,S001,P0018,241,151,47,147.27,19.57,5,0,23.13,304,14.62,0,0,0,0,0,1,0,0,0,0,0,0,0
