date,store_id,product_id,category,region,inventory_level,units_sold,units_ordered,demand_forecast,price,discount,weather_condition,holiday/promotion,competitor_pricing,seasonality,visitors,cost,profit_margin,margin_percent,demand_ratio,inventory_pressure,competitor_gap,discounted_price,revenue,day_of_week,month
2022-01-01,S001,P0001,Groceries,North,231,127,55,135.47,33.5,20,Rainy,0,29.69,Autumn,279,20.15,13.350000000000001,0.3985074626865672,0.9306074595149118,0.5474137931034483,3.8099999999999987,-636.5,-80835.5,5,1
2022-01-01,S001,P0002,Toys,South,204,150,66,144.04,63.01,20,Sunny,0,66.16,Autumn,379,38.28,24.729999999999997,0.39247738454213615,1.0341974627688915,0.7317073170731707,-3.1499999999999986,-1197.19,-179578.5,5,1
2022-01-01,S001,P0003,Toys,West,102,65,51,74.02,27.99,10,Sunny,1,31.32,Summer,207,21.54,6.449999999999999,0.23043944265809216,0.8664356171687551,0.6310679611650486,-3.330000000000002,-251.91,-16374.15,5,1
2022-01-01,S001,P0004,Toys,North,469,61,164,62.18,32.72,10,Cloudy,1,34.74,Autumn,125,16.37,16.349999999999998,0.4996943765281173,0.9654954099398544,0.12978723404255318,-2.020000000000003,-294.48,-17963.280000000002,5,1
2022-01-01,S001,P0005,Electronics,East,166,14,135,9.26,73.64,0,Sunny,0,68.95,Summer,170,39.08,34.56,0.4693101575230853,1.364522417153996,0.08383233532934131,4.689999999999998,73.64,1030.96,5,1
2022-01-01,S001,P0006,Groceries,South,138,128,102,139.82,76.83,10,Sunny,1,79.35,Winter,249,44.84,31.989999999999995,0.41637381231289855,0.9089617951995456,0.920863309352518,-2.519999999999996,-691.47,-88508.16,5,1
2022-01-01,S001,P0007,Furniture,East,359,97,167,108.92,34.16,10,Rainy,1,36.55,Winter,335,17.59,16.569999999999997,0.4850702576112412,0.8824599708879185,0.26944444444444443,-2.3900000000000006,-307.43999999999994,-29821.679999999993,5,1
2022-01-01,S001,P0008,Clothing,North,380,312,54,329.73,97.99,5,Cloudy,0,100.09,Spring,382,66.56,31.429999999999993,0.3207470150015307,0.9433677017506727,0.8188976377952756,-2.1000000000000085,-391.96,-122291.51999999999,5,1
2022-01-01,S001,P0009,Electronics,West,183,175,135,174.15,20.74,10,Cloudy,0,17.66,Autumn,327,10.72,10.019999999999998,0.4831243972999035,0.9991435912075364,0.9510869565217391,3.0799999999999983,-186.66,-32665.5,5,1
2022-01-01,S001,P0010,Toys,South,108,28,196,24.47,59.99,0,Rainy,1,61.21,Winter,199,35.14,24.85,0.41423570595099185,1.099332548095799,0.25688073394495414,-1.2199999999999989,59.99,1679.72,5,1
2022-01-01,S001,P0011,Furniture,South,258,150,153,152.74,58.53,10,Sunny,1,61.42,Spring,410,40.97,17.560000000000002,0.3000170852554246,0.9756732145180174,0.5791505791505791,-2.8900000000000006,-526.77,-79015.5,5,1
2022-01-01,S001,P0012,Clothing,West,66,24,70,26.75,58.25,20,Snowy,0,62.21,Spring,288,36.84,21.409999999999997,0.36755364806866947,0.8648648648648649,0.3582089552238806,-3.960000000000001,-1106.75,-26562.0,5,1
2022-01-01,S001,P0013,Toys,South,96,42,85,41.46,43.6,0,Cloudy,0,46.31,Spring,166,25.07,18.53,0.425,0.9891662741403674,0.4329896907216495,-2.710000000000001,43.6,1831.2,5,1
2022-01-01,S001,P0014,Clothing,West,193,12,187,6.8,78.11,0,Sunny,0,80.06,Spring,264,58.23,19.880000000000003,0.25451286647036236,1.5384615384615385,0.061855670103092786,-1.9500000000000028,78.11,937.3199999999999,5,1
2022-01-01,S001,P0015,Clothing,North,379,369,154,363.46,92.99,15,Snowy,0,95.8,Winter,506,54.14,38.849999999999994,0.4177868588020217,1.012456785381112,0.9710526315789474,-2.8100000000000023,-1301.86,-480386.33999999997,5,1
2022-01-01,S001,P0016,Electronics,North,363,255,69,255.74,21.9,5,Cloudy,1,20.27,Autumn,421,12.32,9.579999999999998,0.43744292237442917,0.9932227155877541,0.7005494505494505,1.629999999999999,-87.6,-22338.0,5,1
2022-01-01,S001,P0017,Toys,West,318,246,177,255.37,21.07,20,Sunny,0,16.49,Winter,395,14.99,6.08,0.28856193640246797,0.9595506494519639,0.7711598746081505,4.580000000000002,-400.33,-98481.18,5,1
2022-01-01,S001,P0018,Clothing,South,241,151,47,147.27,19.57,5,Cloudy,0,23.13,Autumn,304,14.62,4.950000000000001,0.252938170669392,1.0184123558373237,0.6239669421487604,-3.5599999999999987,-78.28,-11820.28,5,1
2022-01-01,S001,P0019,Clothing,East,352,257,186,267.38,73.28,10,Cloudy,0,77.26,Winter,458,42.03,31.25,0.4264465065502183,0.957597436470676,0.7280453257790368,-3.980000000000004,-659.52,-169496.63999999998,5,1
2022-01-01,S001,P0020,Toys,East,274,99,166,115.23,30.24,5,Cloudy,0,27.1,Spring,279,16.5,13.739999999999998,0.45436507936507936,0.8517594424847286,0.36,3.139999999999997,-120.96,-11975.039999999999,5,1
2022-01-01,S002,P0001,Groceries,South,343,104,144,112.55,32.8,20,Sunny,1,30.78,Spring,303,21.74,11.059999999999999,0.3371951219512195,0.9158960810215764,0.3023255813953488,2.019999999999996,-623.1999999999999,-64812.799999999996,5,1
2022-01-01,S002,P0002,Clothing,West,373,141,151,135.62,46.16,10,Rainy,1,45.21,Winter,243,28.79,17.369999999999997,0.3762998266897747,1.0320597277119017,0.3770053475935829,0.9499999999999957,-415.43999999999994,-58577.03999999999,5,1
2022-01-01,S002,P0003,Furniture,East,445,182,119,176.31,20.46,20,Snowy,1,22.0,Spring,233,15.7,4.760000000000002,0.23264907135874885,1.026450848795894,0.4080717488789238,-1.5399999999999991,-388.74,-70750.68000000001,5,1
2022-01-01,S002,P0004,Toys,West,191,63,115,54.57,26.19,0,Cloudy,0,28.06,Autumn,200,15.39,10.8,0.4123711340206186,1.133705236638474,0.328125,-1.8699999999999974,26.19,1649.97,5,1
2022-01-01,S002,P0005,Toys,West,281,156,25,150.9,83.29,20,Rainy,0,80.64,Autumn,441,59.26,24.03000000000001,0.2885100252131109,1.0269914417379855,0.5531914893617021,2.6500000000000057,-1582.5100000000002,-246871.56000000003,5,1
2022-01-01,S002,P0006,Furniture,North,492,250,168,242.57,85.59,20,Cloudy,0,86.82,Winter,457,67.48,18.11,0.21159013903493398,1.0263989818122101,0.5070993914807302,-1.2299999999999898,-1626.21,-406552.5,5,1
2022-01-01,S002,P0007,Groceries,West,460,393,70,401.48,91.13,5,Sunny,0,93.33,Summer,480,61.18,29.949999999999996,0.32865137715351694,0.9764460345855694,0.8524945770065075,-2.200000000000003,-364.52,-143256.36,5,1
2022-01-01,S002,P0008,Electronics,West,304,29,99,35.54,66.96,20,Snowy,0,65.36,Summer,208,38.11,28.849999999999994,0.4308542413381123,0.7936507936507937,0.09508196721311475,1.5999999999999943,-1272.2399999999998,-36894.95999999999,5,1
2022-01-01,S002,P0009,Clothing,South,113,9,84,14.78,81.29,5,Rainy,1,82.06,Winter,250,52.65,28.640000000000008,0.35231885840816834,0.5703422053231939,0.07894736842105263,-0.769999999999996,-325.16,-2926.44,5,1
2022-01-01,S002,P0010,Electronics,North,157,126,181,132.75,60.84,0,Snowy,1,65.22,Winter,363,45.02,15.82,0.2600262984878369,0.9420560747663551,0.7974683544303798,-4.3799999999999955,60.84,7665.84,5,1
2022-01-01,S002,P0011,Groceries,West,67,13,33,7.44,34.62,0,Snowy,1,33.98,Autumn,83,23.98,10.639999999999997,0.3073367995378393,1.5402843601895733,0.19117647058823528,0.6400000000000006,34.62,450.05999999999995,5,1
