date,store_id,product_id,category,region,inventory_level,units_sold,units_ordered,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,visitors,cost,profit_margin,margin_percent,demand_ratio,inventory_pressure,competitor_gap,discounted_price,revenue,conversion_rate,price_demand_ratio,stock_remaining,traffic_intensity,day_of_week,month,is_weekend
2022-01-01,S001,P0001,Groceries,North,231,127,55,135.47,33.5,1,Rainy,0,29.69,Autumn,279,20.15,13.350000000000001,0.3985074626865672,0.9306074595149118,0.5474137931034483,3.8099999999999987,0.0,0.0,0.45357142857142857,0.26171875,104,1.2025862068965518,5,1,1
2022-01-01,S001,P0002,Toys,South,204,150,66,144.04,63.01,1,Sunny,0,66.16,Autumn,379,38.28,24.729999999999997,0.39247738454213615,1.0341974627688915,0.7317073170731707,-3.1499999999999986,0.0,0.0,0.39473684210526316,0.4172847682119205,54,1.8487804878048781,5,1,1
2022-01-01,S001,P0003,Toys,West,102,65,51,74.02,27.99,1,Sunny,1,31.32,Summer,207,21.54,6.449999999999999,0.23043944265809216,0.8664356171687551,0.6310679611650486,-3.330000000000002,0.0,0.0,0.3125,0.4240909090909091,37,2.0097087378640777,5,1,1
2022-01-01,S001,P0004,Toys,North,469,61,164,62.18,32.72,1,Cloudy,1,34.74,Autumn,125,16.37,16.349999999999998,0.4996943765281173,0.9654954099398544,0.12978723404255318,-2.020000000000003,0.0,0.0,0.48412698412698413,0.5277419354838709,408,0.26595744680851063,5,1,1
2022-01-01,S001,P0005,Electronics,East,166,14,135,9.26,73.64,0,Sunny,0,68.95,Summer,170,39.08,34.56,0.4693101575230853,1.364522417153996,0.08383233532934131,4.689999999999998,73.64,1030.96,0.08187134502923976,4.9093333333333335,152,1.0179640718562875,5,1,1
2022-01-01,S001,P0006,Groceries,South,138,128,102,139.82,76.83,1,Sunny,1,79.35,Winter,249,44.84,31.989999999999995,0.41637381231289855,0.9089617951995456,0.920863309352518,-2.519999999999996,0.0,0.0,0.512,0.5955813953488373,10,1.79136690647482,5,1,1
2022-01-01,S001,P0007,Furniture,East,359,97,167,108.92,34.16,1,Rainy,1,36.55,Winter,335,17.59,16.569999999999997,0.4850702576112412,0.8824599708879185,0.26944444444444443,-2.3900000000000006,0.0,0.0,0.28869047619047616,0.34857142857142853,262,0.9305555555555556,5,1,1
2022-01-01,S001,P0008,Clothing,North,380,312,54,329.73,97.99,1,Cloudy,0,100.09,Spring,382,66.56,31.429999999999993,0.3207470150015307,0.9433677017506727,0.8188976377952756,-2.1000000000000085,0.0,0.0,0.814621409921671,0.3130670926517572,68,1.0026246719160106,5,1,1
2022-01-01,S001,P0009,Electronics,West,183,175,135,174.15,20.74,1,Cloudy,0,17.66,Autumn,327,10.72,10.019999999999998,0.4831243972999035,0.9991435912075364,0.9510869565217391,3.0799999999999983,0.0,0.0,0.5335365853658537,0.11784090909090908,8,1.7771739130434783,5,1,1
2022-01-01,S001,P0010,Toys,South,108,28,196,24.47,59.99,0,Rainy,1,61.21,Winter,199,35.14,24.85,0.41423570595099185,1.099332548095799,0.25688073394495414,-1.2199999999999989,59.99,1679.72,0.14,2.0686206896551727,80,1.8256880733944953,5,1,1
2022-01-01,S001,P0011,Furniture,South,258,150,153,152.74,58.53,1,Sunny,1,61.42,Spring,410,40.97,17.560000000000002,0.3000170852554246,0.9756732145180174,0.5791505791505791,-2.8900000000000006,0.0,0.0,0.36496350364963503,0.3876158940397351,108,1.583011583011583,5,1,1
2022-01-01,S001,P0012,Clothing,West,66,24,70,26.75,58.25,1,Snowy,0,62.21,Spring,288,36.84,21.409999999999997,0.36755364806866947,0.8648648648648649,0.3582089552238806,-3.960000000000001,0.0,0.0,0.08304498269896193,2.33,42,4.298507462686567,5,1,1
2022-01-01,S001,P0013,Toys,South,96,42,85,41.46,43.6,0,Cloudy,0,46.31,Spring,166,25.07,18.53,0.425,0.9891662741403674,0.4329896907216495,-2.710000000000001,43.6,1831.2,0.25149700598802394,1.013953488372093,54,1.711340206185567,5,1,1
2022-01-01,S001,P0014,Clothing,West,193,12,187,6.8,78.11,0,Sunny,0,80.06,Spring,264,58.23,19.880000000000003,0.25451286647036236,1.5384615384615385,0.061855670103092786,-1.9500000000000028,78.11,937.3199999999999,0.045283018867924525,6.008461538461538,181,1.3608247422680413,5,1,1
2022-01-01,S001,P0015,Clothing,North,379,369,154,363.46,92.99,1,Snowy,0,95.8,Winter,506,54.14,38.849999999999994,0.4177868588020217,1.012456785381112,0.9710526315789474,-2.8100000000000023,0.0,0.0,0.727810650887574,0.25132432432432433,10,1.331578947368421,5,1,1
2022-01-01,S001,P0016,Electronics,North,363,255,69,255.74,21.9,1,Cloudy,1,20.27,Autumn,421,12.32,9.579999999999998,0.43744292237442917,0.9932227155877541,0.7005494505494505,1.629999999999999,0.0,0.0,0.6042654028436019,0.085546875,108,1.1565934065934067,5,1,1
2022-01-01,S001,P0017,Toys,West,318,246,177,255.37,21.07,1,Sunny,0,16.49,Winter,395,14.99,6.08,0.28856193640246797,0.9595506494519639,0.7711598746081505,4.580000000000002,0.0,0.0,0.6212121212121212,0.08530364372469636,72,1.238244514106583,5,1,1
2022-01-01,S001,P0018,Clothing,South,241,151,47,147.27,19.57,1,Cloudy,0,23.13,Autumn,304,14.62,4.950000000000001,0.252938170669392,1.0184123558373237,0.6239669421487604,-3.5599999999999987,0.0,0.0,0.49508196721311476,0.12875,90,1.256198347107438,5,1,1
2022-01-01,S001,P0019,Clothing,East,352,257,186,267.38,73.28,1,Cloudy,0,77.26,Winter,458,42.03,31.25,0.4264465065502183,0.957597436470676,0.7280453257790368,-3.980000000000004,0.0,0.0,0.5599128540305011,0.284031007751938,95,1.2974504249291785,5,1,1
2022-01-01,S001,P0020,Toys,East,274,99,166,115.23,30.24,1,Cloudy,0,27.1,Spring,279,16.5,13.739999999999998,0.45436507936507936,0.8517594424847286,0.36,3.139999999999997,0.0,0.0,0.3535714285714286,0.3024,175,1.0145454545454546,5,1,1
2022-01-01,S002,P0001,Groceries,South,343,104,144,112.55,32.8,1,Sunny,1,30.78,Spring,303,21.74,11.059999999999999,0.3371951219512195,0.9158960810215764,0.3023255813953488,2.019999999999996,0.0,0.0,0.34210526315789475,0.31238095238095237,239,0.8808139534883721,5,1,1
2022-01-01,S002,P0002,Clothing,West,373,141,151,135.62,46.16,1,Rainy,1,45.21,Winter,243,28.79,17.369999999999997,0.3762998266897747,1.0320597277119017,0.3770053475935829,0.9499999999999957,0.0,0.0,0.5778688524590164,0.32507042253521123,232,0.6497326203208557,5,1,1
