Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Visitors,Cost,Profit Margine,Margine Percentage,Demand Ratio,Inventory Pressure,Competitor Price Gap,Discounted Price,Revenue,Conversion Ratio,Price-Demand Ratio,Stock Remaining,Traffic Intensity,Time-Based Feature,Last Sale Feature
01-01-2022,S001,P0001,Groceries,North,231,127,55,135.47,33.5,20,Rainy,0,29.69,Autumn,279,20.15,0.398507463,39.85074627,0.087229437,0.086853448,3.81,26.8,4254.5,0.455197133,0.263779528,104,1.207792208,1,#NAME?
01-01-2022,S001,P0002,Toys,South,204,150,66,144.04,63.01,20,Sunny,0,66.16,Autumn,379,38.28,#SPILL!,39.24773845,0.187647059,0.186731707,-3.15,50.408,9451.5,0.395778364,0.420066667,54,1.857843137,1,#NAME?
01-01-2022,S001,P0003,Toys,West,102,65,51,74.02,27.99,10,Sunny,1,31.32,Summer,207,21.54,0.230439443,23.04394427,0.211176471,0.209126214,-3.33,25.191,1819.35,0.314009662,0.430615385,37,2.029411765,1,#NAME?
01-01-2022,S001,P0004,Toys,North,469,61,164,62.18,32.72,10,Cloudy,1,34.74,Autumn,125,16.37,0.499694377,49.96943765,0.034904051,0.034829787,-2.02,29.448,1995.92,0.488,0.536393443,408,0.26652452,1,#NAME?
01-01-2022,S001,P0005,Electronics,East,166,14,135,9.26,73.64,0,Sunny,0,68.95,Summer,170,39.08,0.469310158,46.93101575,0.235421687,0.234011976,4.69,73.64,1030.96,0.082352941,5.26,152,1.024096386,1,#NAME?
01-01-2022,S001,P0006,Groceries,South,138,128,102,139.82,76.83,10,Sunny,1,79.35,Winter,249,44.84,0.416373812,41.63738123,0.324927536,0.322589928,-2.52,69.147,9834.24,0.514056225,0.600234375,10,1.804347826,1,#NAME?
01-01-2022,S001,P0007,Furniture,East,359,97,167,108.92,34.16,10,Rainy,1,36.55,Winter,335,17.59,0.485070258,48.50702576,0.048997214,0.048861111,-2.39,30.744,3313.52,0.289552239,0.352164948,262,0.933147632,1,#NAME?
01-01-2022,S001,P0008,Clothing,North,380,312,54,329.73,97.99,5,Cloudy,0,100.09,Spring,382,66.56,0.320747015,32.0747015,0.175157895,0.174698163,-2.1,93.0905,30572.88,0.816753927,0.314070513,68,1.005263158,1,#NAME?
01-01-2022,S001,P0009,Electronics,West,183,175,135,174.15,20.74,10,Cloudy,0,17.66,Autumn,327,10.72,0.483124397,48.31243973,0.058579235,0.05826087,3.08,18.666,3629.5,0.535168196,0.118514286,8,1.786885246,1,#NAME?
01-01-2022,S001,P0010,Toys,South,108,28,196,24.47,59.99,0,Rainy,1,61.21,Winter,199,35.14,0.414235706,41.4235706,0.32537037,0.322385321,-1.22,59.99,1679.72,0.140703518,2.1425,80,1.842592593,1,#NAME?
01-01-2022,S001,P0011,Furniture,South,258,150,153,152.74,58.53,10,Sunny,1,61.42,Spring,410,40.97,0.300017085,30.00170853,0.15879845,0.158185328,-2.89,52.677,8779.5,0.365853659,0.3902,108,1.589147287,1,#NAME?
01-01-2022,S001,P0012,Clothing,West,66,24,70,26.75,58.25,20,Snowy,0,62.21,Spring,288,36.84,0.367553648,36.75536481,0.558181818,0.549850746,-3.96,46.6,1398,0.083333333,2.427083333,42,4.363636364,1,#NAME?
01-01-2022,S001,P0013,Toys,South,96,42,85,41.46,43.6,0,Cloudy,0,46.31,Spring,166,25.07,0.425,42.5,0.261145833,0.258453608,-2.71,43.6,1831.2,0.253012048,1.038095238,54,1.729166667,1,#NAME?
01-01-2022,S001,P0014,Clothing,West,193,12,187,6.8,78.11,0,Sunny,0,80.06,Spring,264,58.23,0.254512866,25.45128665,0.301709845,0.300154639,-1.95,78.11,937.32,0.045454545,6.509166667,181,1.367875648,1,#NAME?
01-01-2022,S001,P0015,Clothing,North,379,369,154,363.46,92.99,15,Snowy,0,95.8,Winter,506,54.14,0.417786859,41.77868588,0.142849604,0.142473684,-2.81,79.0415,34313.31,0.729249012,0.25200542,10,1.335092348,1,#NAME?
01-01-2022,S001,P0016,Electronics,North,363,255,69,255.74,21.9,5,Cloudy,1,20.27,Autumn,421,12.32,0.437442922,43.74429224,0.033939394,0.033846154,1.63,20.805,5584.5,0.605700713,0.085882353,108,1.159779614,1,#NAME?
01-01-2022,S001,P0017,Toys,West,318,246,177,255.37,21.07,20,Sunny,0,16.49,Winter,395,14.99,0.288561936,28.85619364,0.047138365,0.046990596,4.58,16.856,5183.22,0.62278481,0.085650407,72,1.242138365,1,#NAME?
01-01-2022,S001,P0018,Clothing,South,241,151,47,147.27,19.57,5,Cloudy,0,23.13,Autumn,304,14.62,0.252938171,25.29381707,0.0606639,0.060413223,-3.56,18.5915,2955.07,0.496710526,0.129602649,90,1.261410788,1,#NAME?
01-01-2022,S001,P0019,Clothing,East,352,257,186,267.38,73.28,10,Cloudy,0,77.26,Winter,458,42.03,0.426446507,42.64465066,0.119403409,0.119065156,-3.98,65.952,18832.96,0.561135371,0.285136187,95,1.301136364,1,#NAME?
01-01-2022,S001,P0020,Toys,East,274,99,166,115.23,30.24,5,Cloudy,0,27.1,Spring,279,16.5,0.454365079,45.43650794,0.060218978,0.06,3.14,28.728,2993.76,0.35483871,0.305454545,175,1.018248175,1,#NAME?
01-01-2022,S002,P0001,Groceries,South,343,104,144,112.55,32.8,20,Sunny,1,30.78,Spring,303,21.74,0.337195122,33.7195122,0.063381924,0.063197674,2.02,26.24,3411.2,0.343234323,0.315384615,239,0.883381924,1,#NAME?
01-01-2022,S002,P0002,Clothing,West,373,141,151,135.62,46.16,10,Rainy,1,45.21,Winter,243,28.79,0.376299827,37.62998267,0.077184987,0.07697861,0.95,41.544,6508.56,0.580246914,0.327375887,232,0.651474531,1,#NAME?
01-01-2022,S002,P0003,Furniture,East,445,182,119,176.31,20.46,20,Snowy,1,22,Spring,233,15.7,0.232649071,23.26490714,0.035280899,0.035201794,-1.54,16.368,3723.72,0.78111588,0.112417582,263,0.523595506,1,#NAME?
01-01-2022,S002,P0004,Toys,West,191,63,115,54.57,26.19,0,Cloudy,0,28.06,Autumn,200,15.39,0.412371134,41.2371134,0.080575916,0.08015625,-1.87,26.19,1649.97,0.315,0.415714286,128,1.047120419,1,#NAME?
01-01-2022,S002,P0005,Toys,West,281,156,25,150.9,83.29,20,Rainy,0,80.64,Autumn,441,59.26,0.288510025,28.85100252,0.21088968,0.210141844,2.65,66.632,12993.24,0.353741497,0.533910256,125,1.569395018,1,#NAME?
01-01-2022,S002,P0006,Furniture,North,492,250,168,242.57,85.59,20,Cloudy,0,86.82,Winter,457,67.48,0.211590139,21.1590139,0.137154472,0.136876268,-1.23,68.472,21397.5,0.547045952,0.34236,242,0.928861789,1,#NAME?
01-01-2022,S002,P0007,Groceries,West,460,393,70,401.48,91.13,5,Sunny,0,93.33,Summer,480,61.18,0.328651377,32.86513772,0.133,0.132711497,-2.2,86.5735,35814.09,0.81875,0.231882952,67,1.043478261,1,#NAME?
01-01-2022,S002,P0008,Electronics,West,304,29,99,35.54,66.96,20,Snowy,0,65.36,Summer,208,38.11,0.430854241,43.08542413,0.125361842,0.12495082,1.6,53.568,1941.84,0.139423077,2.308965517,275,0.684210526,1,#NAME?
01-01-2022,S002,P0009,Clothing,South,113,9,84,14.78,81.29,5,Rainy,1,82.06,Winter,250,52.65,0.352318858,35.23188584,0.465929204,0.461842105,-0.77,77.2255,731.61,0.036,9.032222222,104,2.212389381,1,#NAME?
01-01-2022,S002,P0010,Electronics,North,157,126,181,132.75,60.84,0,Snowy,1,65.22,Winter,363,45.02,0.260026298,26.00262985,0.286751592,0.284936709,-4.38,60.84,7665.84,0.347107438,0.482857143,31,2.312101911,1,#NAME?
01-01-2022,S002,P0011,Groceries,West,67,13,33,7.44,34.62,0,Snowy,1,33.98,Autumn,83,23.98,0.3073368,30.73367995,0.357910448,0.352647059,0.64,34.62,450.06,0.156626506,2.663076923,54,1.23880597,1,#NAME?
01-01-2022,S002,P0012,Groceries,East,281,25,136,37.27,19.56,5,Rainy,1,19.01,Winter,235,12.98,0.336400818,33.6400818,0.046192171,0.046028369,0.55,18.582,489,0.106382979,0.7824,256,0.836298932,1,#NAME?
01-01-2022,S002,P0013,Clothing,East,389,283,177,299.7,57.78,20,Cloudy,0,58.5,Spring,536,29.13,0.495846314,49.58463136,0.074884319,0.074692308,-0.72,46.224,16351.74,0.527985075,0.204169611,106,1.377892031,1,#NAME?
