Date,Store_ID,Product_ID,Category,Region,Inventory_Level,Units_Sold,Units_Ordered,Demand_Forecast,Price,Discount,Weather_Condition,Holiday,Competitor_Pricing,Seasonality,Customer_Visits,Cost_Price,Conversion_Rate_%
01-01-2022,S001,P0001,Groceries,North,231,127,55,135.47,33.5,20,Rainy,0,29.69,Autumn,160,23.45,79.375
01-01-2022,S001,P0002,Toys,South,204,150,66,144.04,63.01,20,Sunny,0,66.16,Autumn,232,44.107,64.65517241379311
01-01-2022,S001,P0003,Toys,West,102,65,51,74.02,27.99,10,Sunny,1,31.32,Summer,150,19.592999999999996,43.333333333333336
01-01-2022,S001,P0004,Toys,North,469,61,164,62.18,32.72,10,Cloudy,1,34.74,Autumn,154,22.903999999999996,39.61038961038961
01-01-2022,S001,P0005,Electronics,East,166,14,135,9.26,73.64,0,Sunny,0,68.95,Summer,95,51.547999999999995,14.736842105263156
01-01-2022,S001,P0006,Groceries,South,138,128,102,139.82,76.83,10,Sunny,1,79.35,Winter,173,53.781,73.98843930635837
01-01-2022,S001,P0007,Furniture,East,359,97,167,108.92,34.16,10,Rainy,1,36.55,Winter,171,23.911999999999995,56.72514619883041
01-01-2022,S001,P0008,Clothing,North,380,312,54,329.73,97.99,5,Cloudy,0,100.09,Spring,357,68.59299999999999,87.39495798319328
01-01-2022,S001,P0009,Electronics,West,183,175,135,174.15,20.74,10,Cloudy,0,17.66,Autumn,259,14.517999999999997,67.56756756756756
01-01-2022,S001,P0010,Toys,South,108,28,196,24.47,59.99,0,Rainy,1,61.21,Winter,105,41.993,26.666666666666668
01-01-2022,S001,P0011,Furniture,South,258,150,153,152.74,58.53,10,Sunny,1,61.42,Spring,177,40.971,84.7457627118644
01-01-2022,S001,P0012,Clothing,West,66,24,70,26.75,58.25,20,Snowy,0,62.21,Spring,68,40.775,35.294117647058826
01-01-2022,S001,P0013,Toys,South,96,42,85,41.46,43.6,0,Cloudy,0,46.31,Spring,126,30.52,33.33333333333333
01-01-2022,S001,P0014,Clothing,West,193,12,187,6.8,78.11,0,Sunny,0,80.06,Spring,62,54.677,19.35483870967742
01-01-2022,S001,P0015,Clothing,North,379,369,154,363.46,92.99,15,Snowy,0,95.8,Winter,438,65.09299999999999,84.24657534246576
01-01-2022,S001,P0016,Electronics,North,363,255,69,255.74,21.9,5,Cloudy,1,20.27,Autumn,305,15.329999999999998,83.60655737704919
01-01-2022,S001,P0017,Toys,West,318,246,177,255.37,21.07,20,Sunny,0,16.49,Winter,321,14.748999999999999,76.63551401869158
01-01-2022,S001,P0018,Clothing,South,241,151,47,147.27,19.57,5,Cloudy,0,23.13,Autumn,237,13.699,63.71308016877637
01-01-2022,S001,P0019,Clothing,East,352,257,186,267.38,73.28,10,Cloudy,0,77.26,Winter,345,51.296,74.4927536231884
01-01-2022,S001,P0020,Toys,East,274,99,166,115.23,30.24,5,Cloudy,0,27.1,Spring,170,21.168,58.235294117647065
01-01-2022,S002,P0001,Groceries,South,343,104,144,112.55,32.8,20,Sunny,1,30.78,Spring,171,22.959999999999997,60.81871345029239
01-01-2022,S002,P0002,Clothing,West,373,141,151,135.62,46.16,10,Rainy,1,45.21,Winter,229,32.312,61.572052401746724
01-01-2022,S002,P0003,Furniture,East,445,182,119,176.31,20.46,20,Snowy,1,22.0,Spring,214,14.322,85.04672897196261
01-01-2022,S002,P0004,Toys,West,191,63,115,54.57,26.19,0,Cloudy,0,28.06,Autumn,98,18.333,64.28571428571429
01-01-2022,S002,P0005,Toys,West,281,156,25,150.9,83.29,20,Rainy,0,80.64,Autumn,185,58.303,84.32432432432432
01-01-2022,S002,P0006,Furniture,North,492,250,168,242.57,85.59,20,Cloudy,0,86.82,Winter,287,59.913,87.10801393728222
01-01-2022,S002,P0007,Groceries,West,460,393,70,401.48,91.13,5,Sunny,0,93.33,Summer,484,63.79099999999999,81.19834710743802
01-01-2022,S002,P0008,Electronics,West,304,29,99,35.54,66.96,20,Snowy,0,65.36,Summer,86,46.87199999999999,33.72093023255814
01-01-2022,S002,P0009,Clothing,South,113,9,84,14.78,81.29,5,Rainy,1,82.06,Winter,50,56.903,18.0
01-01-2022,S002,P0010,Electronics,North,157,126,181,132.75,60.84,0,Snowy,1,65.22,Winter,218,42.588,57.798165137614674
01-01-2022,S002,P0011,Groceries,West,67,13,33,7.44,34.62,0,Snowy,1,33.98,Autumn,65,24.233999999999998,20.0
01-01-2022,S002,P0012,Groceries,East,281,25,136,37.27,19.56,5,Rainy,1,19.01,Winter,64,13.691999999999998,39.0625
01-01-2022,S002,P0013,Clothing,East,389,283,177,299.7,57.78,20,Cloudy,0,58.5,Spring,326,40.446,86.80981595092024
01-01-2022,S002,P0014,Electronics,East,465,359,77,370.36,91.28,20,Cloudy,0,90.85,Summer,410,63.895999999999994,87.5609756097561
01-01-2022,S002,P0015,Toys,South,197,129,94,148.55,59.9,15,Sunny,1,55.23,Winter,177,41.93,72.88135593220339
01-01-2022,S002,P0016,Toys,South,242,63,85,58.07,45.65,20,Rainy,1,42.17,Spring,160,31.955,39.375
01-01-2022,S002,P0017,Groceries,West,398,373,92,390.89,11.71,20,Cloudy,1,10.0,Winter,438,8.197000000000001,85.15981735159818
01-01-2022,S002,P0018,Groceries,North,234,160,140,177.41,58.84,5,Cloudy,0,54.39,Summer,194,41.188,82.4742268041237
01-01-2022,S002,P0019,Toys,East,67,15,186,34.38,84.99,5,Sunny,1,81.02,Winter,37,59.492999999999995,40.54054054054054
01-01-2022,S002,P0020,Toys,West,221,101,38,115.0,87.1,0,Rainy,1,91.56,Spring,199,60.96999999999999,50.753768844221106
01-01-2022,S003,P0001,Toys,South,241,147,180,161.09,67.21,5,Sunny,1,67.39,Summer,205,47.04699999999999,71.70731707317073
01-01-2022,S003,P0002,Electronics,West,115,4,169,11.11,28.2,10,Sunny,1,25.63,Spring,66,19.74,6.0606060606060606
01-01-2022,S003,P0003,Groceries,South,375,77,145,75.04,56.16,10,Sunny,1,57.16,Spring,156,39.312,49.358974358974365
01-01-2022,S003,P0004,Toys,South,153,31,145,42.99,89.53,20,Rainy,1,93.6,Winter,100,62.671,31.0
01-01-2022,S003,P0005,Clothing,West,438,325,20,330.92,97.95,20,Sunny,0,93.54,Winter,371,68.565,87.6010781671159
01-01-2022,S003,P0006,Groceries,North,456,163,22,159.17,76.37,5,Rainy,1,71.38,Summer,245,53.459,66.53061224489795
01-01-2022,S003,P0007,Electronics,North,189,34,107,26.91,86.99,15,Rainy,1,90.5,Summer,97,60.892999999999994,35.051546391752574
01-01-2022,S003,P0008,Toys,North,223,47,107,45.48,66.53,15,Cloudy,1,70.46,Spring,103,46.571,45.63106796116505
01-01-2022,S003,P0009,Groceries,South,381,15,184,30.05,74.86,15,Snowy,1,73.93,Winter,111,52.401999999999994,13.513513513513514
01-01-2022,S003,P0010,Groceries,South,166,126,124,141.34,97.09,5,Rainy,1,95.8,Summer,210,67.963,60.0
01-01-2022,S003,P0011,Toys,East,292,232,155,242.02,56.19,0,Snowy,1,57.85,Winter,311,39.333,74.59807073954984
01-01-2022,S003,P0012,Electronics,North,311,175,55,176.75,90.38,20,Cloudy,0,89.52,Summer,198,63.26599999999999,88.38383838383838
01-01-2022,S003,P0013,Furniture,North,51,17,172,12.86,73.98,20,Cloudy,1,76.65,Summer,60,51.786,28.333333333333332
01-01-2022,S003,P0014,Electronics,South,398,369,26,387.88,79.03,5,Rainy,0,82.51,Spring,447,55.321,82.5503355704698
01-01-2022,S003,P0015,Clothing,West,445,260,24,266.36,27.72,5,Snowy,0,23.28,Autumn,295,19.403999999999996,88.13559322033898
01-01-2022,S003,P0016,Groceries,South,487,347,93,349.36,98.18,15,Rainy,0,99.58,Winter,411,68.726,84.42822384428223
01-01-2022,S003,P0017,Clothing,East,429,150,168,157.82,27.1,5,Cloudy,1,27.4,Spring,239,18.97,62.76150627615063
01-01-2022,S003,P0018,Toys,West,204,70,170,83.01,97.08,15,Snowy,1,94.88,Winter,137,67.95599999999999,51.09489051094891
01-01-2022,S003,P0019,Clothing,East,330,249,37,268.25,26.71,15,Cloudy,1,24.81,Summer,274,18.697,90.87591240875912
01-01-2022,S003,P0020,Electronics,North,431,370,99,387.57,95.85,20,Cloudy,1,95.7,Spring,426,67.095,86.85446009389672
01-01-2022,S004,P0001,Toys,South,477,271,66,286.65,15.62,15,Sunny,0,16.09,Winter,338,10.934,80.1775147928994
01-01-2022,S004,P0002,Clothing,North,462,180,183,176.06,41.13,5,Sunny,0,45.05,Autumn,213,28.791,84.50704225352112
01-01-2022,S004,P0003,Clothing,West,446,344,27,352.93,89.32,20,Cloudy,0,93.0,Autumn,373,62.523999999999994,92.22520107238606
01-01-2022,S004,P0004,Groceries,West,437,0,160,-2.4,87.23,10,Sunny,0,90.36,Spring,85,61.061,0.0
01-01-2022,S004,P0005,Groceries,North,397,200,172,196.57,81.72,0,Snowy,1,85.22,Spring,267,57.20399999999999,74.90636704119851
01-01-2022,S004,P0006,Electronics,East,470,382,195,396.4,41.35,10,Snowy,0,39.86,Summer,407,28.945,93.85749385749385
01-01-2022,S004,P0007,Electronics,West,264,190,139,197.45,67.26,20,Cloudy,0,64.78,Summer,238,47.082,79.83193277310924
01-01-2022,S004,P0008,Furniture,South,250,51,137,54.98,85.88,20,Snowy,1,86.14,Winter,78,60.11599999999999,65.38461538461539
01-01-2022,S004,P0009,Furniture,North,63,40,73,51.78,59.23,10,Rainy,1,61.1,Summer,116,41.461,34.48275862068966
01-01-2022,S004,P0010,Groceries,East,447,104,96,115.03,33.48,15,Cloudy,0,37.15,Summer,145,23.435999999999996,71.72413793103448
01-01-2022,S004,P0011,Electronics,West,205,46,27,46.65,54.84,0,Sunny,1,57.76,Spring,106,38.388,43.39622641509434
01-01-2022,S004,P0012,Electronics,North,349,9,165,0.95,14.25,5,Rainy,1,18.56,Spring,104,9.975,8.653846153846153
01-01-2022,S004,P0013,Furniture,East,191,56,65,54.47,61.81,0,Sunny,0,63.92,Autumn,145,43.266999999999996,38.62068965517241
01-01-2022,S004,P0014,Electronics,West,406,63,139,69.73,66.94,10,Snowy,1,68.47,Winter,105,46.858,60.0
01-01-2022,S004,P0015,Clothing,South,228,181,127,171.96,60.54,5,Cloudy,0,65.27,Autumn,207,42.378,87.43961352657004
01-01-2022,S004,P0016,Groceries,South,263,94,24,98.05,94.26,15,Rainy,0,96.74,Summer,114,65.982,82.45614035087719
01-01-2022,S004,P0017,Electronics,South,203,46,75,55.12,25.55,0,Rainy,0,28.07,Winter,139,17.884999999999998,33.093525179856115
01-01-2022,S004,P0018,Groceries,West,143,8,27,27.3,16.73,5,Cloudy,1,18.79,Spring,96,11.711,8.333333333333332
01-01-2022,S004,P0019,Groceries,West,359,172,125,181.25,71.2,15,Rainy,1,73.85,Spring,219,49.839999999999996,78.53881278538812
01-01-2022,S004,P0020,Clothing,West,211,68,37,86.27,11.5,20,Snowy,0,9.26,Winter,105,8.049999999999999,64.76190476190476
01-01-2022,S005,P0001,Toys,West,111,77,60,83.47,70.33,10,Cloudy,0,70.29,Winter,170,49.230999999999995,45.294117647058826
01-01-2022,S005,P0002,Clothing,West,415,298,107,292.96,57.15,5,Snowy,1,60.71,Autumn,375,40.004999999999995,79.46666666666667
01-01-2022,S005,P0003,Electronics,North,384,64,26,76.02,36.17,5,Sunny,0,40.93,Spring,112,25.319,57.14285714285714
01-01-2022,S005,P0004,Furniture,West,436,300,174,292.04,50.77,15,Snowy,1,54.7,Spring,389,35.539,77.12082262210797
01-01-2022,S005,P0005,Clothing,West,180,21,47,38.63,92.86,15,Rainy,1,96.3,Winter,117,65.002,17.94871794871795
01-01-2022,S005,P0006,Groceries,North,185,176,163,174.06,60.76,20,Cloudy,0,61.15,Summer,255,42.532,69.01960784313725
01-01-2022,S005,P0007,Clothing,South,292,131,140,122.6,46.47,15,Snowy,0,50.84,Summer,165,32.528999999999996,79.39393939393939
01-01-2022,S005,P0008,Toys,West,478,317,197,328.64,34.08,5,Snowy,1,30.44,Winter,371,23.855999999999998,85.44474393530997
01-01-2022,S005,P0009,Groceries,West,182,97,27,92.62,87.81,5,Snowy,0,85.45,Spring,146,61.467,66.43835616438356
01-01-2022,S005,P0010,Clothing,East,87,8,141,14.38,37.04,10,Rainy,1,36.87,Summer,52,25.927999999999997,15.384615384615385
01-01-2022,S005,P0011,Groceries,West,427,104,128,94.65,54.12,10,Rainy,1,53.03,Summer,125,37.88399999999999,83.2
01-01-2022,S005,P0012,Electronics,West,245,87,188,90.59,67.64,15,Sunny,0,63.53,Summer,130,47.348,66.92307692307692
01-01-2022,S005,P0013,Furniture,South,317,238,95,256.57,82.18,5,Cloudy,0,87.09,Summer,271,57.526,87.82287822878229
01-01-2022,S005,P0014,Electronics,South,325,171,43,188.55,42.62,20,Cloudy,1,42.01,Autumn,260,29.833999999999996,65.76923076923077
01-01-2022,S005,P0015,Furniture,West,411,250,119,260.79,11.54,10,Cloudy,0,11.27,Spring,322,8.078,77.63975155279503
01-01-2022,S005,P0016,Clothing,South,71,11,32,1.85,16.3,5,Sunny,0,17.98,Winter,90,11.41,12.222222222222221
01-01-2022,S005,P0017,Electronics,East,388,371,98,390.04,98.31,15,Sunny,1,102.42,Spring,420,68.817,88.33333333333333
01-01-2022,S005,P0018,Furniture,West,161,107,66,103.97,48.96,10,Snowy,1,50.03,Spring,137,34.272,78.1021897810219
01-01-2022,S005,P0019,Groceries,South,235,106,124,119.33,88.22,5,Rainy,0,91.16,Spring,202,61.754,52.475247524752476
01-01-2022,S005,P0020,Electronics,South,108,101,52,105.92,11.04,10,Snowy,1,9.14,Autumn,148,7.727999999999999,68.24324324324324
02-01-2022,S001,P0001,Groceries,West,116,81,104,92.94,27.95,10,Cloudy,0,30.89,Spring,129,19.564999999999998,62.7906976744186
02-01-2022,S001,P0002,Clothing,West,416,163,79,171.6,19.78,15,Cloudy,0,18.76,Spring,215,13.846,75.81395348837209
02-01-2022,S001,P0003,Clothing,South,488,464,163,463.12,70.99,10,Snowy,0,72.93,Summer,526,49.69299999999999,88.212927756654
02-01-2022,S001,P0004,Groceries,East,248,116,107,133.92,49.56,5,Snowy,0,50.46,Summer,136,34.692,85.29411764705883
02-01-2022,S001,P0005,Electronics,East,238,200,40,204.3,23.76,15,Sunny,1,19.19,Summer,247,16.632,80.97165991902834
02-01-2022,S001,P0006,Furniture,East,471,58,32,51.57,47.56,0,Snowy,1,46.82,Summer,122,33.292,47.540983606557376
02-01-2022,S001,P0007,Electronics,North,178,56,149,60.3,17.1,5,Snowy,1,17.0,Autumn,124,11.97,45.16129032258064
02-01-2022,S001,P0008,Clothing,East,92,74,121,67.04,58.89,5,Cloudy,0,61.56,Autumn,166,41.223,44.57831325301205
02-01-2022,S001,P0009,Toys,South,99,54,182,70.6,99.76,20,Cloudy,0,95.61,Spring,146,69.832,36.986301369863014
02-01-2022,S001,P0010,Clothing,North,171,39,163,47.8,11.44,5,Sunny,0,12.71,Summer,61,8.008,63.934426229508205
02-01-2022,S001,P0011,Furniture,East,215,12,173,16.92,53.84,0,Cloudy,1,53.79,Spring,85,37.688,14.117647058823529
02-01-2022,S001,P0012,Furniture,East,281,56,187,70.71,57.84,5,Snowy,1,60.99,Summer,125,40.488,44.800000000000004
02-01-2022,S001,P0013,Toys,North,455,31,124,44.46,35.51,15,Cloudy,1,31.06,Autumn,106,24.856999999999996,29.245283018867923
02-01-2022,S001,P0014,Electronics,West,84,25,20,23.36,31.41,0,Cloudy,1,28.6,Spring,113,21.987,22.123893805309734
02-01-2022,S001,P0015,Electronics,East,246,198,67,203.23,28.06,20,Cloudy,1,30.29,Winter,231,19.642,85.71428571428571
02-01-2022,S001,P0016,Electronics,West,399,77,147,67.55,35.67,15,Snowy,0,38.02,Summer,115,24.969,66.95652173913044
02-01-2022,S001,P0017,Furniture,West,242,165,105,181.86,28.18,5,Cloudy,0,27.5,Autumn,241,19.726,68.46473029045643
02-01-2022,S001,P0018,Toys,North,478,42,168,55.16,74.42,5,Snowy,0,69.67,Summer,101,52.094,41.584158415841586
02-01-2022,S001,P0019,Furniture,South,156,8,67,24.41,91.95,5,Cloudy,1,87.43,Spring,81,64.365,9.876543209876543
02-01-2022,S001,P0020,Electronics,North,221,174,168,187.49,97.88,0,Snowy,0,99.5,Autumn,212,68.51599999999999,82.0754716981132
02-01-2022,S002,P0001,Electronics,West,402,343,141,339.04,66.57,20,Rainy,1,63.92,Summer,391,46.59899999999999,87.7237851662404
